Search Term,sustainability
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,68
2020-02-01,62
2020-02-08,66
2020-02-15,64
2020-02-22,66
2020-02-29,60
2020-03-07,49
2020-03-14,34
2020-03-21,40
2020-03-28,48
2020-04-04,49
2020-04-11,54
2020-04-18,60
2020-04-25,60
2020-05-02,58
2020-05-09,54
2020-05-16,50
2020-05-23,41
2020-05-30,39
2020-06-06,43
2020-06-13,43
2020-06-20,45
2020-06-27,39
2020-07-04,44
2020-07-11,53
2020-07-18,49
2020-07-25,46
2020-08-01,46
2020-08-08,43
2020-08-15,47
2020-08-22,52
2020-08-29,64
2020-09-05,65
2020-09-12,69
2020-09-19,68
2020-09-26,61
2020-10-03,60
2020-10-10,49
2020-10-17,50
2020-10-24,48
2020-10-31,38
2020-11-07,50
2020-11-14,57
2020-11-21,44
2020-11-28,56
2020-12-05,52
2020-12-12,45
2020-12-19,28
2020-12-26,29
2021-01-02,38
2021-01-09,42
2021-01-16,43
2021-01-23,56
2021-01-30,54
2021-02-06,53
2021-02-13,49
2021-02-20,52
2021-02-27,53
2021-03-06,51
2021-03-13,49
2021-03-20,46
2021-03-27,50
2021-04-03,56
2021-04-10,58
2021-04-17,80
2021-04-24,66
2021-05-01,63
2021-05-08,57
2021-05-15,50
2021-05-22,48
2021-05-29,45
2021-06-05,44
2021-06-12,43
2021-06-19,40
2021-06-26,42
2021-07-03,41
2021-07-10,42
2021-07-17,43
2021-07-24,46
2021-07-31,42
2021-08-07,45
2021-08-14,48
2021-08-21,51
2021-08-28,52
2021-09-04,57
2021-09-11,61
2021-09-18,61
2021-09-25,57
2021-10-02,58
2021-10-09,58
2021-10-16,66
2021-10-23,61
2021-10-30,60
2021-11-06,64
2021-11-13,62
2021-11-20,45
2021-11-27,70
2021-12-04,63
2021-12-11,50
2021-12-18,35
2021-12-25,33
2022-01-01,47
2022-01-08,50
2022-01-15,52
2022-01-22,66
2022-01-29,67
2022-02-05,68
2022-02-12,71
2022-02-19,69
2022-02-26,71
2022-03-05,68
2022-03-12,65
2022-03-19,71
2022-03-26,85
2022-04-02,85
2022-04-09,84
2022-04-16,99
2022-04-23,100
2022-04-30,81
2022-05-07,79
2022-05-14,68
2022-05-21,59
2022-05-28,50
2022-06-04,56
2022-06-11,50
2022-06-18,53
2022-06-25,51
2022-07-02,43
2022-07-09,51
2022-07-16,54
2022-07-23,54
2022-07-30,50
2022-08-06,50
2022-08-13,58
2022-08-20,63
2022-08-27,72
2022-09-03,69
2022-09-10,75
2022-09-17,75
2022-09-24,73
2022-10-01,75
2022-10-08,71
2022-10-15,72
2022-10-22,73
2022-10-29,73
2022-11-05,70
2022-11-12,75
2022-11-19,53
2022-11-26,79
2022-12-03,79
2022-12-10,69
2022-12-17,40
2022-12-24,35
2022-12-31,49
2023-01-07,67
2023-01-14,69
2023-01-21,75
2023-01-28,78
2023-02-04,78
2023-02-11,72
2023-02-18,73
2023-02-25,78
2023-03-04,76
2023-03-11,71
2023-03-18,79
2023-03-25,80
2023-04-01,78
2023-04-08,82
2023-04-15,91
2023-04-22,92
2023-04-29,86
2023-05-06,73
2023-05-13,73
2023-05-20,68
2023-05-27,60
2023-06-03,61
2023-06-10,54
2023-06-17,55
2023-06-24,54
2023-07-01,44
2023-07-08,57
2023-07-15,51
2023-07-22,61
2023-07-29,53
2023-08-05,47
2023-08-12,53
2023-08-19,68
2023-08-26,74
2023-09-02,72
2023-09-09,81
2023-09-16,79
2023-09-23,79
2023-09-30,81
2023-10-07,75
2023-10-14,77
2023-10-21,85
2023-10-28,78
2023-11-04,79
2023-11-11,84
2023-11-18,51
2023-11-25,87
2023-12-02,86
2023-12-09,78
2023-12-16,47
2023-12-23,38
2023-12-30,47
2024-01-06,64
2024-01-13,73
2024-01-20,82
2024-01-27,84
2024-02-03,88
2024-02-10,83
2024-02-17,81
2024-02-24,89
2024-03-02,84
2024-03-09,78
2024-03-16,86
2024-03-23,82
2024-03-30,81
2024-04-06,87
2024-04-13,95
2024-04-20,95
2024-04-27,89
2024-05-04,81
2024-05-11,74
2024-05-18,67
2024-05-25,54
