Search Term,intensive animal farming
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,69
2020-02-01,76
2020-02-08,82
2020-02-15,82
2020-02-22,88
2020-02-29,74
2020-03-07,61
2020-03-14,55
2020-03-21,65
2020-03-28,65
2020-04-04,72
2020-04-11,73
2020-04-18,80
2020-04-25,100
2020-05-02,80
2020-05-09,83
2020-05-16,71
2020-05-23,54
2020-05-30,52
2020-06-06,47
2020-06-13,36
2020-06-20,38
2020-06-27,44
2020-07-04,42
2020-07-11,50
2020-07-18,43
2020-07-25,35
2020-08-01,30
2020-08-08,31
2020-08-15,38
2020-08-22,43
2020-08-29,43
2020-09-05,53
2020-09-12,48
2020-09-19,56
2020-09-26,53
2020-10-03,61
2020-10-10,55
2020-10-17,54
2020-10-24,46
2020-10-31,41
2020-11-07,60
2020-11-14,70
2020-11-21,44
2020-11-28,54
2020-12-05,53
2020-12-12,41
2020-12-19,29
2020-12-26,23
2021-01-02,38
2021-01-09,33
2021-01-16,44
2021-01-23,50
2021-01-30,43
2021-02-06,50
2021-02-13,46
2021-02-20,46
2021-02-27,47
2021-03-06,41
2021-03-13,47
2021-03-20,34
2021-03-27,30
2021-04-03,40
2021-04-10,37
2021-04-17,44
2021-04-24,51
2021-05-01,42
2021-05-08,32
2021-05-15,34
2021-05-22,37
2021-05-29,23
2021-06-05,28
2021-06-12,28
2021-06-19,23
2021-06-26,23
2021-07-03,27
2021-07-10,22
2021-07-17,25
2021-07-24,28
2021-07-31,25
2021-08-07,32
2021-08-14,29
2021-08-21,28
2021-08-28,32
2021-09-04,15
2021-09-11,21
2021-09-18,26
2021-09-25,40
2021-10-02,29
2021-10-09,29
2021-10-16,39
2021-10-23,36
2021-10-30,31
2021-11-06,33
2021-11-13,39
2021-11-20,25
2021-11-27,49
2021-12-04,55
2021-12-11,38
2021-12-18,29
2021-12-25,21
2022-01-01,25
2022-01-08,31
2022-01-15,37
2022-01-22,34
2022-01-29,40
2022-02-05,41
2022-02-12,44
2022-02-19,42
2022-02-26,53
2022-03-05,48
2022-03-12,37
2022-03-19,48
2022-03-26,62
2022-04-02,61
2022-04-09,60
2022-04-16,61
2022-04-23,71
2022-04-30,47
2022-05-07,46
2022-05-14,43
2022-05-21,33
2022-05-28,27
2022-06-04,28
2022-06-11,42
2022-06-18,31
2022-06-25,25
2022-07-02,32
2022-07-09,27
2022-07-16,25
2022-07-23,26
2022-07-30,27
2022-08-06,27
2022-08-13,17
2022-08-20,25
2022-08-27,23
2022-09-03,29
2022-09-10,40
2022-09-17,34
2022-09-24,35
2022-10-01,34
2022-10-08,34
2022-10-15,46
2022-10-22,35
2022-10-29,43
2022-11-05,36
2022-11-12,48
2022-11-19,32
2022-11-26,51
2022-12-03,43
2022-12-10,33
2022-12-17,22
2022-12-24,11
2022-12-31,20
2023-01-07,32
2023-01-14,34
2023-01-21,35
2023-01-28,46
2023-02-04,38
2023-02-11,42
2023-02-18,48
2023-02-25,46
2023-03-04,42
2023-03-11,37
2023-03-18,39
2023-03-25,33
2023-04-01,35
2023-04-08,36
2023-04-15,52
2023-04-22,53
2023-04-29,58
2023-05-06,48
2023-05-13,52
2023-05-20,27
2023-05-27,23
2023-06-03,27
2023-06-10,19
2023-06-17,21
2023-06-24,20
2023-07-01,16
2023-07-08,19
2023-07-15,23
2023-07-22,17
2023-07-29,23
2023-08-05,20
2023-08-12,16
2023-08-19,24
2023-08-26,24
2023-09-02,23
2023-09-09,28
2023-09-16,25
2023-09-23,30
2023-09-30,29
2023-10-07,27
2023-10-14,41
2023-10-21,35
2023-10-28,28
2023-11-04,39
2023-11-11,35
2023-11-18,31
2023-11-25,50
2023-12-02,40
2023-12-09,38
2023-12-16,23
2023-12-23,15
2023-12-30,26
2024-01-06,39
2024-01-13,42
2024-01-20,39
2024-01-27,41
2024-02-03,34
2024-02-10,39
2024-02-17,35
2024-02-24,35
2024-03-02,43
2024-03-09,30
2024-03-16,34
2024-03-23,28
2024-03-30,34
2024-04-06,43
2024-04-13,39
2024-04-20,43
2024-04-27,41
2024-05-04,42
2024-05-11,41
2024-05-18,24
2024-05-25,23
