Search Term,animal welfare
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-12-03,51
2016-12-10,49
2016-12-17,31
2016-12-24,30
2016-12-31,42
2017-01-07,44
2017-01-14,48
2017-01-21,46
2017-01-28,72
2017-02-04,100
2017-02-11,57
2017-02-18,52
2017-02-25,54
2017-03-04,53
2017-03-11,49
2017-03-18,54
2017-03-25,52
2017-04-01,52
2017-04-08,45
2017-04-15,47
2017-04-22,55
2017-04-29,53
2017-05-06,48
2017-05-13,47
2017-05-20,41
2017-05-27,44
2017-06-03,38
2017-06-10,37
2017-06-17,42
2017-06-24,39
2017-07-01,48
2017-07-08,49
2017-07-15,37
2017-07-22,37
2017-07-29,40
2017-08-05,42
2017-08-12,43
2017-08-19,41
2017-08-26,48
2017-09-02,46
2017-09-09,51
2017-09-16,41
2017-09-23,47
2017-09-30,43
2017-10-07,48
2017-10-14,41
2017-10-21,51
2017-10-28,45
2017-11-04,51
2017-11-11,49
2017-11-18,45
2017-11-25,46
2017-12-02,50
2017-12-09,44
2017-12-16,39
2017-12-23,28
2017-12-30,41
2018-01-06,49
2018-01-13,42
2018-01-20,48
2018-01-27,55
2018-02-03,46
2018-02-10,50
2018-02-17,66
2018-02-24,79
2018-03-03,75
2018-03-10,89
2018-03-17,88
2018-03-24,81
2018-03-31,86
2018-04-07,90
2018-04-14,99
2018-04-21,91
2018-04-28,90
2018-05-05,77
2018-05-12,91
2018-05-19,90
2018-05-26,73
2018-06-02,79
2018-06-09,80
2018-06-16,65
2018-06-23,66
2018-06-30,65
2018-07-07,72
2018-07-14,72
2018-07-21,64
2018-07-28,68
2018-08-04,61
2018-08-11,68
2018-08-18,59
2018-08-25,55
2018-09-01,60
2018-09-08,74
2018-09-15,74
2018-09-22,80
2018-09-29,77
2018-10-06,74
2018-10-13,65
2018-10-20,65
2018-10-27,68
2018-11-03,81
2018-11-10,74
2018-11-17,62
2018-11-24,72
2018-12-01,74
2018-12-08,77
2018-12-15,62
2018-12-22,49
2018-12-29,58
2019-01-05,67
2019-01-12,64
2019-01-19,63
2019-01-26,74
2019-02-02,70
2019-02-09,73
2019-02-16,66
2019-02-23,69
2019-03-02,73
2019-03-09,68
2019-03-16,66
2019-03-23,61
2019-03-30,66
2019-04-06,63
2019-04-13,61
2019-04-20,69
2019-04-27,70
2019-05-04,65
2019-05-11,76
2019-05-18,60
2019-05-25,60
2019-06-01,69
2019-06-08,67
2019-06-15,69
2019-06-22,61
2019-06-29,53
2019-07-06,69
2019-07-13,79
2019-07-20,67
2019-07-27,63
2019-08-03,57
2019-08-10,71
2019-08-17,69
2019-08-24,66
2019-08-31,54
2019-09-07,61
2019-09-14,63
2019-09-21,65
2019-09-28,65
2019-10-05,65
2019-10-12,58
2019-10-19,63
2019-10-26,59
2019-11-02,66
2019-11-09,55
2019-11-16,55
2019-11-23,47
2019-11-30,59
2019-12-07,54
2019-12-14,53
2019-12-21,39
2019-12-28,41
2020-01-04,61
2020-01-11,63
2020-01-18,49
2020-01-25,60
2020-02-01,61
2020-02-08,60
2020-02-15,59
2020-02-22,62
2020-02-29,62
