,Date,Year,Month,StewartPBMilk
0,2013-01-01,2013,1,0.028520422707360635
1,2013-02-01,2013,2,0.028533843986498712
2,2013-03-01,2013,3,0.02878347870494579
3,2013-04-01,2013,4,0.02993215565898905
4,2013-05-01,2013,5,0.029227571892488338
5,2013-06-01,2013,6,0.02908036998631117
6,2013-07-01,2013,7,0.028950214996878013
7,2013-08-01,2013,8,0.03016666808637239
8,2013-09-01,2013,9,0.030235252907177733
9,2013-10-01,2013,10,0.029942553312695814
10,2013-11-01,2013,11,0.027613612697498794
11,2013-12-01,2013,12,0.0254255622814234
12,2014-01-01,2014,1,0.03306869837793913
13,2014-02-01,2014,2,0.036329559573383345
14,2014-03-01,2014,3,0.03669095790005269
15,2014-04-01,2014,4,0.034512224469175574
16,2014-05-01,2014,5,0.03519481085668844
17,2014-06-01,2014,6,0.03539691356807669
18,2014-07-01,2014,7,0.033595951324095166
19,2014-08-01,2014,8,0.03406560383707539
20,2014-09-01,2014,9,0.03424709788881648
21,2014-10-01,2014,10,0.03296398285230252
22,2014-11-01,2014,11,0.03089347811984456
23,2014-12-01,2014,12,0.02840213647756692
24,2015-01-01,2015,1,0.0350837205390571
25,2015-02-01,2015,2,0.038508722421708545
26,2015-03-01,2015,3,0.039492981813060844
27,2015-04-01,2015,4,0.037949573534123024
28,2015-05-01,2015,5,0.037055308228164406
29,2015-06-01,2015,6,0.03629385568424334
30,2015-07-01,2015,7,0.036635969809225434
31,2015-08-01,2015,8,0.03641536611356796
32,2015-09-01,2015,9,0.03486355276688944
33,2015-10-01,2015,10,0.03220887697159004
34,2015-11-01,2015,11,0.030033236904974926
35,2015-12-01,2015,12,0.02898111354051956
36,2016-01-01,2016,1,0.03417704558920967
37,2016-02-01,2016,2,0.036106030359768025
38,2016-03-01,2016,3,0.03652529949910005
39,2016-04-01,2016,4,0.036560200331982554
40,2016-05-01,2016,5,0.036406941948357016
41,2016-06-01,2016,6,0.035589215273032535
42,2016-07-01,2016,7,0.03414102085010837
43,2016-08-01,2016,8,0.03449485118325134
44,2016-09-01,2016,9,0.034371155457695195
45,2016-10-01,2016,10,0.03252244226016402
46,2016-11-01,2016,11,0.030408057474284985
47,2016-12-01,2016,12,0.02844746638131779
48,2017-01-01,2017,1,0.03726348888690205
49,2017-02-01,2017,2,0.039526317576800855
50,2017-03-01,2017,3,0.040307475044649946
51,2017-04-01,2017,4,0.038577642039089664
52,2017-05-01,2017,5,0.037525897774384115
53,2017-06-01,2017,6,0.03656428345150134
54,2017-07-01,2017,7,0.036569460786787585
55,2017-08-01,2017,8,0.03783332695085493
56,2017-09-01,2017,9,0.03650547304092913
57,2017-10-01,2017,10,0.036301606734187086
58,2017-11-01,2017,11,0.03289907352735976
59,2017-12-01,2017,12,0.03148020720657234
60,2018-01-01,2018,1,0.0289725995239779
