,Search Term,recipes
0,2004-01-03,48.51006711409396
1,2004-01-10,51.30872483221477
2,2004-01-17,50.375838926174495
3,2004-01-24,53.1744966442953
4,2004-01-31,41.04697986577182
5,2004-02-07,48.51006711409396
6,2004-02-14,44.77852348993289
7,2004-02-21,43.845637583892625
8,2004-02-28,46.644295302013425
9,2004-03-06,44.77852348993289
10,2004-03-13,44.77852348993289
11,2004-03-20,46.644295302013425
12,2004-03-27,42.91275167785235
13,2004-04-03,50.375838926174495
14,2004-04-10,37.31543624161074
15,2004-04-17,38.24832214765101
16,2004-04-24,39.18120805369127
17,2004-05-01,44.77852348993289
18,2004-05-08,39.18120805369127
19,2004-05-15,38.24832214765101
20,2004-05-22,41.04697986577182
21,2004-05-29,40.11409395973154
22,2004-06-05,35.4496644295302
23,2004-06-12,40.11409395973154
24,2004-06-19,39.18120805369127
25,2004-06-26,43.845637583892625
26,2004-07-03,39.18120805369127
27,2004-07-10,41.04697986577182
28,2004-07-17,39.18120805369127
29,2004-07-24,34.51677852348993
30,2004-07-31,40.11409395973154
31,2004-08-07,39.18120805369127
32,2004-08-14,38.24832214765101
33,2004-08-21,38.24832214765101
34,2004-08-28,36.38255033557047
35,2004-09-04,41.04697986577182
36,2004-09-11,41.04697986577182
37,2004-09-18,38.24832214765101
38,2004-09-25,40.11409395973154
39,2004-10-02,42.91275167785235
40,2004-10-09,43.845637583892625
41,2004-10-16,50.375838926174495
42,2004-10-23,51.30872483221477
43,2004-10-30,47.577181208053695
44,2004-11-06,49.44295302013423
45,2004-11-13,61.570469798657726
46,2004-11-20,92.35570469798657
47,2004-11-27,48.51006711409396
48,2004-12-04,54.10738255033557
49,2004-12-11,71.83221476510067
50,2004-12-18,90.48993288590604
51,2004-12-25,53.1744966442953
52,2005-01-01,46.644295302013425
53,2005-01-08,46.644295302013425
54,2005-01-15,50.375838926174495
55,2005-01-22,45.711409395973156
56,2005-01-29,48.51006711409396
57,2005-02-05,46.644295302013425
58,2005-02-12,42.91275167785235
59,2005-02-19,39.18120805369127
60,2005-02-26,41.97986577181209
61,2005-03-05,41.97986577181209
62,2005-03-12,44.77852348993289
63,2005-03-19,49.44295302013423
64,2005-03-26,41.04697986577182
65,2005-04-02,36.38255033557047
66,2005-04-09,40.11409395973154
67,2005-04-16,41.97986577181209
68,2005-04-23,41.97986577181209
69,2005-04-30,44.77852348993289
70,2005-05-07,40.11409395973154
71,2005-05-14,40.11409395973154
72,2005-05-21,41.04697986577182
73,2005-05-28,43.845637583892625
74,2005-06-04,40.11409395973154
75,2005-06-11,41.04697986577182
76,2005-06-18,38.24832214765101
77,2005-06-25,45.711409395973156
78,2005-07-02,43.845637583892625
79,2005-07-09,41.04697986577182
80,2005-07-16,41.04697986577182
81,2005-07-23,41.97986577181209
82,2005-07-30,41.04697986577182
83,2005-08-06,41.04697986577182
84,2005-08-13,39.18120805369127
85,2005-08-20,41.04697986577182
86,2005-08-27,40.11409395973154
87,2005-09-03,39.18120805369127
88,2005-09-10,39.18120805369127
89,2005-09-17,41.04697986577182
90,2005-09-24,41.97986577181209
91,2005-10-01,45.711409395973156
92,2005-10-08,46.644295302013425
93,2005-10-15,46.644295302013425
94,2005-10-22,53.1744966442953
95,2005-10-29,45.711409395973156
96,2005-11-05,46.644295302013425
97,2005-11-12,56.90604026845638
98,2005-11-19,83.95973154362417
99,2005-11-26,44.77852348993289
100,2005-12-03,51.30872483221477
101,2005-12-10,58.77181208053691
102,2005-12-17,79.29530201342281
103,2005-12-24,56.90604026845638
104,2005-12-31,47.577181208053695
105,2006-01-07,45.711409395973156
106,2006-01-14,46.644295302013425
107,2006-01-21,42.91275167785235
108,2006-01-28,44.77852348993289
109,2006-02-04,42.91275167785235
110,2006-02-11,44.77852348993289
111,2006-02-18,41.04697986577182
112,2006-02-25,40.11409395973154
113,2006-03-04,40.11409395973154
114,2006-03-11,41.97986577181209
115,2006-03-18,41.97986577181209
116,2006-03-25,37.31543624161074
117,2006-04-01,39.18120805369127
118,2006-04-08,46.644295302013425
119,2006-04-15,36.38255033557047
120,2006-04-22,37.31543624161074
121,2006-04-29,37.31543624161074
122,2006-05-06,41.04697986577182
123,2006-05-13,40.11409395973154
124,2006-05-20,38.24832214765101
125,2006-05-27,39.18120805369127
126,2006-06-03,36.38255033557047
127,2006-06-10,40.11409395973154
128,2006-06-17,40.11409395973154
129,2006-06-24,41.04697986577182
130,2006-07-01,45.711409395973156
131,2006-07-08,40.11409395973154
132,2006-07-15,41.04697986577182
133,2006-07-22,39.18120805369127
134,2006-07-29,39.18120805369127
135,2006-08-05,38.24832214765101
136,2006-08-12,40.11409395973154
137,2006-08-19,39.18120805369127
138,2006-08-26,38.24832214765101
139,2006-09-02,39.18120805369127
140,2006-09-09,37.31543624161074
141,2006-09-16,42.91275167785235
142,2006-09-23,42.91275167785235
143,2006-09-30,41.97986577181209
144,2006-10-07,45.711409395973156
145,2006-10-14,50.375838926174495
146,2006-10-21,53.1744966442953
147,2006-10-28,48.51006711409396
148,2006-11-04,47.577181208053695
149,2006-11-11,58.77181208053691
150,2006-11-18,82.09395973154363
151,2006-11-25,43.845637583892625
152,2006-12-02,51.30872483221477
153,2006-12-09,55.97315436241611
154,2006-12-16,73.69798657718121
155,2006-12-23,61.570469798657726
156,2006-12-30,55.97315436241611
157,2007-01-06,49.44295302013423
158,2007-01-13,48.51006711409396
159,2007-01-20,48.51006711409396
160,2007-01-27,50.375838926174495
161,2007-02-03,47.577181208053695
162,2007-02-10,45.711409395973156
163,2007-02-17,42.91275167785235
164,2007-02-24,41.97986577181209
165,2007-03-03,41.04697986577182
166,2007-03-10,40.11409395973154
167,2007-03-17,38.24832214765101
168,2007-03-24,41.97986577181209
169,2007-03-31,49.44295302013423
170,2007-04-07,38.24832214765101
