Search Term,vegetarian recipe
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,62
2020-02-01,62
2020-02-08,60
2020-02-15,62
2020-02-22,57
2020-02-29,56
2020-03-07,54
2020-03-14,64
2020-03-21,69
2020-03-28,70
2020-04-04,86
2020-04-11,75
2020-04-18,77
2020-04-25,81
2020-05-02,83
2020-05-09,71
2020-05-16,66
2020-05-23,65
2020-05-30,53
2020-06-06,61
2020-06-13,60
2020-06-20,56
2020-06-27,66
2020-07-04,61
2020-07-11,59
2020-07-18,58
2020-07-25,54
2020-08-01,58
2020-08-08,58
2020-08-15,50
2020-08-22,54
2020-08-29,56
2020-09-05,57
2020-09-12,60
2020-09-19,59
2020-09-26,58
2020-10-03,55
2020-10-10,57
2020-10-17,63
2020-10-24,63
2020-10-31,50
2020-11-07,57
2020-11-14,72
2020-11-21,86
2020-11-28,54
2020-12-05,61
2020-12-12,66
2020-12-19,82
2020-12-26,85
2021-01-02,68
2021-01-09,67
2021-01-16,65
2021-01-23,61
2021-01-30,62
2021-02-06,63
2021-02-13,58
2021-02-20,57
2021-02-27,50
2021-03-06,49
2021-03-13,47
2021-03-20,49
2021-03-27,53
2021-04-03,41
2021-04-10,45
2021-04-17,43
2021-04-24,46
2021-05-01,47
2021-05-08,43
2021-05-15,45
2021-05-22,42
2021-05-29,41
2021-06-05,42
2021-06-12,42
2021-06-19,39
2021-06-26,41
2021-07-03,42
2021-07-10,41
2021-07-17,44
2021-07-24,45
2021-07-31,42
2021-08-07,42
2021-08-14,43
2021-08-21,45
2021-08-28,45
2021-09-04,46
2021-09-11,43
2021-09-18,48
2021-09-25,50
2021-10-02,51
2021-10-09,57
2021-10-16,55
2021-10-23,58
2021-10-30,59
2021-11-06,55
2021-11-13,72
2021-11-20,88
2021-11-27,51
2021-12-04,55
2021-12-11,58
2021-12-18,80
2021-12-25,75
2022-01-01,87
2022-01-08,80
2022-01-15,74
2022-01-22,76
2022-01-29,72
2022-02-05,61
2022-02-12,60
2022-02-19,63
2022-02-26,60
2022-03-05,64
2022-03-12,55
2022-03-19,54
2022-03-26,56
2022-04-02,56
2022-04-09,58
2022-04-16,48
2022-04-23,49
2022-04-30,49
2022-05-07,45
2022-05-14,46
2022-05-21,44
2022-05-28,46
2022-06-04,46
2022-06-11,49
2022-06-18,48
2022-06-25,47
2022-07-02,47
2022-07-09,50
2022-07-16,47
2022-07-23,49
2022-07-30,51
2022-08-06,52
2022-08-13,48
2022-08-20,46
2022-08-27,47
2022-09-03,51
2022-09-10,49
2022-09-17,52
2022-09-24,58
2022-10-01,57
2022-10-08,62
2022-10-15,63
2022-10-22,61
2022-10-29,66
2022-11-05,69
2022-11-12,83
2022-11-19,100
2022-11-26,65
2022-12-03,59
2022-12-10,67
2022-12-17,98
2022-12-24,83
2022-12-31,83
2023-01-07,70
2023-01-14,67
2023-01-21,68
2023-01-28,67
2023-02-04,64
2023-02-11,57
2023-02-18,61
2023-02-25,58
2023-03-04,55
2023-03-11,59
2023-03-18,56
2023-03-25,50
2023-04-01,57
2023-04-08,40
2023-04-15,47
2023-04-22,44
2023-04-29,46
2023-05-06,44
2023-05-13,43
2023-05-20,42
2023-05-27,43
2023-06-03,45
2023-06-10,48
2023-06-17,43
2023-06-24,45
2023-07-01,46
2023-07-08,39
2023-07-15,42
2023-07-22,40
2023-07-29,42
2023-08-05,45
2023-08-12,42
2023-08-19,45
2023-08-26,45
2023-09-02,47
2023-09-09,49
2023-09-16,50
2023-09-23,50
2023-09-30,50
2023-10-07,54
2023-10-14,54
2023-10-21,60
2023-10-28,64
2023-11-04,61
2023-11-11,70
2023-11-18,96
2023-11-25,58
2023-12-02,59
2023-12-09,62
2023-12-16,83
2023-12-23,80
2023-12-30,92
2024-01-06,82
2024-01-13,84
2024-01-20,64
2024-01-27,66
2024-02-03,65
2024-02-10,68
2024-02-17,56
2024-02-24,53
2024-03-02,48
2024-03-09,49
2024-03-16,51
2024-03-23,52
2024-03-30,46
2024-04-06,40
2024-04-13,43
2024-04-20,45
2024-04-27,44
2024-05-04,41
2024-05-11,39
2024-05-18,41
2024-05-25,41
