Search Term,vegan recipe
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,67
2020-02-01,59
2020-02-08,62
2020-02-15,64
2020-02-22,61
2020-02-29,58
2020-03-07,56
2020-03-14,63
2020-03-21,78
2020-03-28,86
2020-04-04,88
2020-04-11,69
2020-04-18,75
2020-04-25,79
2020-05-02,80
2020-05-09,75
2020-05-16,73
2020-05-23,73
2020-05-30,63
2020-06-06,70
2020-06-13,72
2020-06-20,61
2020-06-27,71
2020-07-04,61
2020-07-11,65
2020-07-18,71
2020-07-25,60
2020-08-01,72
2020-08-08,63
2020-08-15,59
2020-08-22,59
2020-08-29,59
2020-09-05,55
2020-09-12,56
2020-09-19,54
2020-09-26,54
2020-10-03,57
2020-10-10,58
2020-10-17,58
2020-10-24,61
2020-10-31,44
2020-11-07,61
2020-11-14,71
2020-11-21,95
2020-11-28,59
2020-12-05,62
2020-12-12,69
2020-12-19,89
2020-12-26,73
2021-01-02,62
2021-01-09,61
2021-01-16,60
2021-01-23,59
2021-01-30,62
2021-02-06,64
2021-02-13,63
2021-02-20,53
2021-02-27,53
2021-03-06,50
2021-03-13,51
2021-03-20,49
2021-03-27,55
2021-04-03,48
2021-04-10,48
2021-04-17,47
2021-04-24,44
2021-05-01,50
2021-05-08,45
2021-05-15,43
2021-05-22,46
2021-05-29,47
2021-06-05,43
2021-06-12,47
2021-06-19,45
2021-06-26,46
2021-07-03,46
2021-07-10,44
2021-07-17,45
2021-07-24,48
2021-07-31,44
2021-08-07,48
2021-08-14,46
2021-08-21,46
2021-08-28,44
2021-09-04,45
2021-09-11,45
2021-09-18,46
2021-09-25,48
2021-10-02,44
2021-10-09,49
2021-10-16,49
2021-10-23,50
2021-10-30,51
2021-11-06,55
2021-11-13,65
2021-11-20,99
2021-11-27,50
2021-12-04,55
2021-12-11,60
2021-12-18,80
2021-12-25,61
2022-01-01,68
2022-01-08,66
2022-01-15,65
2022-01-22,66
2022-01-29,59
2022-02-05,59
2022-02-12,58
2022-02-19,56
2022-02-26,56
2022-03-05,57
2022-03-12,57
2022-03-19,53
2022-03-26,50
2022-04-02,54
2022-04-09,60
2022-04-16,50
2022-04-23,46
2022-04-30,48
2022-05-07,48
2022-05-14,47
2022-05-21,49
2022-05-28,49
2022-06-04,49
2022-06-11,49
2022-06-18,51
2022-06-25,52
2022-07-02,54
2022-07-09,50
2022-07-16,52
2022-07-23,53
2022-07-30,49
2022-08-06,50
2022-08-13,50
2022-08-20,51
2022-08-27,48
2022-09-03,48
2022-09-10,45
2022-09-17,50
2022-09-24,48
2022-10-01,50
2022-10-08,50
2022-10-15,53
2022-10-22,53
2022-10-29,53
2022-11-05,54
2022-11-12,68
2022-11-19,100
2022-11-26,53
2022-12-03,55
2022-12-10,66
2022-12-17,92
2022-12-24,68
2022-12-31,54
2023-01-07,55
2023-01-14,59
2023-01-21,55
2023-01-28,55
2023-02-04,52
2023-02-11,48
2023-02-18,54
2023-02-25,51
2023-03-04,48
2023-03-11,50
2023-03-18,48
2023-03-25,49
2023-04-01,54
2023-04-08,44
2023-04-15,45
2023-04-22,44
2023-04-29,43
2023-05-06,44
2023-05-13,41
2023-05-20,43
2023-05-27,43
2023-06-03,45
2023-06-10,47
2023-06-17,47
2023-06-24,48
2023-07-01,50
2023-07-08,43
2023-07-15,43
2023-07-22,41
2023-07-29,43
2023-08-05,44
2023-08-12,42
2023-08-19,46
2023-08-26,42
2023-09-02,45
2023-09-09,44
2023-09-16,45
2023-09-23,44
2023-09-30,43
2023-10-07,46
2023-10-14,45
2023-10-21,49
2023-10-28,47
2023-11-04,50
2023-11-11,63
2023-11-18,97
2023-11-25,47
2023-12-02,54
2023-12-09,59
2023-12-16,76
2023-12-23,69
2023-12-30,68
2024-01-06,64
2024-01-13,69
2024-01-20,53
2024-01-27,49
2024-02-03,54
2024-02-10,53
2024-02-17,50
2024-02-24,47
2024-03-02,44
2024-03-09,49
2024-03-16,48
2024-03-23,52
2024-03-30,44
2024-04-06,39
2024-04-13,41
2024-04-20,44
2024-04-27,42
2024-05-04,42
2024-05-11,39
2024-05-18,41
2024-05-25,43
