,Search Term,vegetarian recipes
0,2003-12-27,71.30113760919384
1,2004-01-03,56.59987212276213
2,2004-01-10,49.249239379546275
3,2004-01-17,54.39468229979737
4,2004-01-24,61.74531504301323
5,2004-01-31,49.249239379546275
6,2004-02-07,47.779112830903095
7,2004-02-14,36.7531637160793
8,2004-02-21,52.92455575115419
9,2004-02-28,41.16354336200882
10,2004-03-06,46.30898628225992
11,2004-03-13,44.10379645929517
12,2004-03-20,35.283037167436134
13,2004-03-27,36.01810044175772
14,2004-04-03,56.59987212276213
15,2004-04-10,37.48822699040089
16,2004-04-17,48.514176105224685
17,2004-04-24,41.16354336200882
18,2004-05-01,37.48822699040089
19,2004-05-08,41.16354336200882
20,2004-05-15,33.07784734447137
21,2004-05-22,40.428480087687234
22,2004-05-29,41.16354336200882
23,2004-06-05,34.547973893114545
24,2004-06-12,43.36873318497358
25,2004-06-19,41.898606636330406
26,2004-06-26,38.22329026472248
27,2004-07-03,42.633669910651996
28,2004-07-10,33.81291061879296
29,2004-07-17,42.633669910651996
30,2004-07-24,51.45442920251103
31,2004-07-31,37.48822699040089
32,2004-08-07,33.07784734447137
33,2004-08-14,47.044049556581506
34,2004-08-21,42.633669910651996
35,2004-08-28,37.48822699040089
36,2004-09-04,44.83885973361675
37,2004-09-11,30.137594247185028
38,2004-09-18,23.522024778290753
39,2004-09-25,39.69341681336565
40,2004-10-02,47.779112830903095
41,2004-10-09,47.044049556581506
42,2004-10-16,43.36873318497358
43,2004-10-23,39.69341681336565
44,2004-10-30,47.779112830903095
45,2004-11-06,38.22329026472248
46,2004-11-13,63.95050486597798
47,2004-11-20,73.5063274321586
48,2004-11-27,34.547973893114545
49,2004-12-04,36.7531637160793
50,2004-12-11,28.66746769854186
51,2004-12-18,65.42063141462117
52,2004-12-25,55.12974557411896
53,2005-01-01,55.12974557411896
54,2005-01-08,42.633669910651996
55,2005-01-15,50.71936592818944
56,2005-01-22,41.16354336200882
57,2005-01-29,62.48037831733482
58,2005-02-05,51.45442920251103
59,2005-02-12,54.39468229979737
60,2005-02-19,36.01810044175772
61,2005-02-26,48.514176105224685
62,2005-03-05,43.36873318497358
63,2005-03-12,38.95835353904407
64,2005-03-19,45.57392300793834
65,2005-03-26,41.16354336200882
66,2005-04-02,37.48822699040089
67,2005-04-09,49.98430265386786
