Search Term,restaurants
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,44
2016-12-03,50
2016-12-10,49
2016-12-17,57
2016-12-24,76
2016-12-31,53
2017-01-07,53
2017-01-14,54
2017-01-21,52
2017-01-28,55
2017-02-04,53
2017-02-11,65
2017-02-18,60
2017-02-25,57
2017-03-04,57
2017-03-11,60
2017-03-18,60
2017-03-25,59
2017-04-01,61
2017-04-08,60
2017-04-15,58
2017-04-22,56
2017-04-29,60
2017-05-06,62
2017-05-13,64
2017-05-20,66
2017-05-27,67
2017-06-03,67
2017-06-10,70
2017-06-17,74
2017-06-24,74
2017-07-01,82
2017-07-08,77
2017-07-15,75
2017-07-22,76
2017-07-29,76
2017-08-05,72
2017-08-12,70
2017-08-19,66
2017-08-26,62
2017-09-02,57
2017-09-09,61
2017-09-16,59
2017-09-23,58
2017-09-30,58
2017-10-07,63
2017-10-14,62
2017-10-21,56
2017-10-28,55
2017-11-04,62
2017-11-11,60
2017-11-18,60
2017-11-25,52
2017-12-02,55
2017-12-09,53
2017-12-16,62
2017-12-23,89
2017-12-30,61
2018-01-06,58
2018-01-13,60
2018-01-20,59
2018-01-27,58
2018-02-03,60
2018-02-10,69
2018-02-17,63
2018-02-24,62
2018-03-03,66
2018-03-10,67
2018-03-17,65
2018-03-24,69
2018-03-31,70
2018-04-07,65
2018-04-14,65
2018-04-21,69
2018-04-28,65
2018-05-05,70
2018-05-12,70
2018-05-19,70
2018-05-26,78
2018-06-02,75
2018-06-09,77
2018-06-16,77
2018-06-23,83
2018-06-30,93
2018-07-07,86
2018-07-14,85
2018-07-21,84
2018-07-28,83
2018-08-04,80
2018-08-11,77
2018-08-18,73
2018-08-25,66
2018-09-01,71
2018-09-08,61
2018-09-15,65
2018-09-22,66
2018-09-29,62
2018-10-06,68
2018-10-13,65
2018-10-20,62
2018-10-27,62
2018-11-03,66
2018-11-10,67
2018-11-17,67
2018-11-24,57
2018-12-01,60
2018-12-08,62
2018-12-15,66
2018-12-22,98
2018-12-29,83
2019-01-05,60
2019-01-12,61
2019-01-19,65
2019-01-26,60
2019-02-02,62
2019-02-09,74
2019-02-16,70
2019-02-23,65
2019-03-02,69
2019-03-09,75
2019-03-16,74
2019-03-23,77
2019-03-30,75
2019-04-06,69
2019-04-13,71
2019-04-20,73
2019-04-27,68
2019-05-04,78
2019-05-11,76
2019-05-18,75
2019-05-25,79
2019-06-01,74
2019-06-08,75
2019-06-15,87
2019-06-22,83
2019-06-29,81
2019-07-06,79
2019-07-13,85
2019-07-20,84
2019-07-27,86
2019-08-03,78
2019-08-10,80
2019-08-17,75
2019-08-24,67
2019-08-31,68
2019-09-07,62
2019-09-14,67
2019-09-21,65
2019-09-28,68
2019-10-05,68
2019-10-12,70
2019-10-19,66
2019-10-26,63
2019-11-02,67
2019-11-09,66
2019-11-16,65
2019-11-23,69
2019-11-30,58
2019-12-07,61
2019-12-14,66
2019-12-21,100
2019-12-28,83
2020-01-04,61
2020-01-11,63
2020-01-18,67
2020-01-25,63
2020-02-01,65
2020-02-08,78
2020-02-15,69
2020-02-22,66
