Search Term,recipes
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,59
2016-12-03,67
2016-12-10,68
2016-12-17,82
2016-12-24,76
2016-12-31,85
2017-01-07,77
2017-01-14,74
2017-01-21,71
2017-01-28,74
2017-02-04,66
2017-02-11,62
2017-02-18,59
2017-02-25,61
2017-03-04,64
2017-03-11,66
2017-03-18,61
2017-03-25,64
2017-04-01,59
2017-04-08,66
2017-04-15,54
2017-04-22,57
2017-04-29,58
2017-05-06,56
2017-05-13,57
2017-05-20,58
2017-05-27,58
2017-06-03,59
2017-06-10,57
2017-06-17,59
2017-06-24,61
2017-07-01,65
2017-07-08,68
2017-07-15,63
2017-07-22,63
2017-07-29,65
2017-08-05,66
2017-08-12,62
2017-08-19,60
2017-08-26,60
2017-09-02,60
2017-09-09,56
2017-09-16,61
2017-09-23,59
2017-09-30,60
2017-10-07,66
2017-10-14,65
2017-10-21,65
2017-10-28,66
2017-11-04,75
2017-11-11,78
2017-11-18,96
2017-11-25,62
2017-12-02,69
2017-12-09,71
2017-12-16,85
2017-12-23,90
2017-12-30,90
2018-01-06,83
2018-01-13,76
2018-01-20,72
2018-01-27,72
2018-02-03,71
2018-02-10,68
2018-02-17,62
2018-02-24,64
2018-03-03,67
2018-03-10,65
2018-03-17,63
2018-03-24,71
2018-03-31,62
2018-04-07,61
2018-04-14,61
2018-04-21,58
2018-04-28,57
2018-05-05,58
2018-05-12,54
2018-05-19,56
2018-05-26,60
2018-06-02,58
2018-06-09,57
2018-06-16,58
2018-06-23,62
2018-06-30,67
2018-07-07,61
2018-07-14,65
2018-07-21,64
2018-07-28,65
2018-08-04,63
2018-08-11,64
2018-08-18,59
2018-08-25,59
2018-09-01,61
2018-09-08,58
2018-09-15,61
2018-09-22,58
2018-09-29,59
2018-10-06,62
2018-10-13,59
2018-10-20,63
2018-10-27,66
2018-11-03,68
2018-11-10,72
2018-11-17,87
2018-11-24,66
2018-12-01,64
2018-12-08,75
2018-12-15,81
2018-12-22,100
2018-12-29,93
2019-01-05,81
2019-01-12,77
2019-01-19,76
2019-01-26,74
2019-02-02,65
2019-02-09,65
2019-02-16,66
2019-02-23,59
2019-03-02,65
2019-03-09,60
2019-03-16,58
2019-03-23,58
2019-03-30,59
2019-04-06,56
2019-04-13,61
2019-04-20,55
2019-04-27,56
2019-05-04,55
2019-05-11,53
2019-05-18,55
2019-05-25,57
2019-06-01,58
2019-06-08,58
2019-06-15,61
2019-06-22,60
2019-06-29,61
2019-07-06,56
2019-07-13,60
2019-07-20,61
2019-07-27,64
2019-08-03,62
2019-08-10,63
2019-08-17,59
2019-08-24,58
2019-08-31,58
2019-09-07,55
2019-09-14,58
2019-09-21,61
2019-09-28,59
2019-10-05,61
2019-10-12,61
2019-10-19,66
2019-10-26,65
2019-11-02,67
2019-11-09,66
2019-11-16,74
2019-11-23,88
2019-11-30,60
2019-12-07,62
2019-12-14,74
2019-12-21,97
2019-12-28,86
2020-01-04,78
2020-01-11,74
2020-01-18,79
2020-01-25,68
2020-02-01,64
2020-02-08,67
2020-02-15,66
2020-02-22,62
