Search Term,vegetarian
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,100
2020-02-01,99
2020-02-08,97
2020-02-15,96
2020-02-22,97
2020-02-29,94
2020-03-07,80
2020-03-14,65
2020-03-21,64
2020-03-28,74
2020-04-04,82
2020-04-11,77
2020-04-18,80
2020-04-25,86
2020-05-02,87
2020-05-09,84
2020-05-16,86
2020-05-23,78
2020-05-30,82
2020-06-06,76
2020-06-13,81
2020-06-20,80
2020-06-27,81
2020-07-04,86
2020-07-11,86
2020-07-18,84
2020-07-25,80
2020-08-01,84
2020-08-08,79
2020-08-15,81
2020-08-22,77
2020-08-29,76
2020-09-05,84
2020-09-12,79
2020-09-19,79
2020-09-26,83
2020-10-03,79
2020-10-10,84
2020-10-17,86
2020-10-24,77
2020-10-31,69
2020-11-07,76
2020-11-14,77
2020-11-21,80
2020-11-28,73
2020-12-05,75
2020-12-12,73
2020-12-19,84
2020-12-26,92
2021-01-02,85
2021-01-09,82
2021-01-16,83
2021-01-23,81
2021-01-30,81
2021-02-06,82
2021-02-13,80
2021-02-20,75
2021-02-27,72
2021-03-06,72
2021-03-13,72
2021-03-20,72
2021-03-27,82
2021-04-03,75
2021-04-10,73
2021-04-17,73
2021-04-24,73
2021-05-01,71
2021-05-08,74
2021-05-15,69
2021-05-22,72
2021-05-29,68
2021-06-05,68
2021-06-12,73
2021-06-19,69
2021-06-26,71
2021-07-03,72
2021-07-10,73
2021-07-17,73
2021-07-24,71
2021-07-31,72
2021-08-07,72
2021-08-14,73
2021-08-21,71
2021-08-28,72
2021-09-04,67
2021-09-11,70
2021-09-18,69
2021-09-25,69
2021-10-02,72
2021-10-09,70
2021-10-16,71
2021-10-23,70
2021-10-30,72
2021-11-06,77
2021-11-13,75
2021-11-20,74
2021-11-27,73
2021-12-04,75
2021-12-11,74
2021-12-18,83
2021-12-25,86
2022-01-01,87
2022-01-08,81
2022-01-15,73
2022-01-22,76
2022-01-29,77
2022-02-05,74
2022-02-12,74
2022-02-19,73
2022-02-26,76
2022-03-05,77
2022-03-12,72
2022-03-19,74
2022-03-26,73
2022-04-02,77
2022-04-09,80
2022-04-16,73
2022-04-23,73
2022-04-30,75
2022-05-07,71
2022-05-14,66
2022-05-21,68
2022-05-28,69
2022-06-04,70
2022-06-11,70
2022-06-18,72
2022-06-25,71
2022-07-02,71
2022-07-09,73
2022-07-16,73
2022-07-23,72
2022-07-30,73
2022-08-06,74
2022-08-13,73
2022-08-20,70
2022-08-27,70
2022-09-03,70
2022-09-10,69
2022-09-17,72
2022-09-24,75
2022-10-01,72
2022-10-08,73
2022-10-15,65
2022-10-22,69
2022-10-29,70
2022-11-05,70
2022-11-12,72
2022-11-19,71
2022-11-26,68
2022-12-03,69
2022-12-10,74
2022-12-17,79
2022-12-24,79
2022-12-31,82
2023-01-07,73
2023-01-14,71
2023-01-21,73
2023-01-28,72
2023-02-04,73
2023-02-11,70
2023-02-18,73
2023-02-25,69
2023-03-04,68
2023-03-11,69
2023-03-18,69
2023-03-25,73
2023-04-01,71
2023-04-08,66
2023-04-15,68
2023-04-22,67
2023-04-29,68
2023-05-06,63
2023-05-13,61
2023-05-20,65
2023-05-27,70
2023-06-03,63
2023-06-10,68
2023-06-17,69
2023-06-24,72
2023-07-01,70
2023-07-08,71
2023-07-15,68
2023-07-22,69
2023-07-29,68
2023-08-05,66
2023-08-12,68
2023-08-19,66
2023-08-26,67
2023-09-02,66
2023-09-09,67
2023-09-16,71
2023-09-23,69
2023-09-30,70
2023-10-07,63
2023-10-14,71
2023-10-21,63
2023-10-28,69
2023-11-04,65
2023-11-11,69
2023-11-18,71
2023-11-25,68
2023-12-02,69
2023-12-09,67
2023-12-16,80
2023-12-23,79
2023-12-30,85
2024-01-06,77
2024-01-13,73
2024-01-20,77
2024-01-27,71
2024-02-03,70
2024-02-10,74
2024-02-17,67
2024-02-24,68
2024-03-02,68
2024-03-09,67
2024-03-16,68
2024-03-23,72
2024-03-30,66
2024-04-06,66
2024-04-13,65
2024-04-20,65
2024-04-27,65
2024-05-04,64
2024-05-11,65
2024-05-18,62
2024-05-25,62
