Search Term,vegan
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-12-03,49
2016-12-10,48
2016-12-17,59
2016-12-24,100
2016-12-31,45
2017-01-07,39
2017-01-14,40
2017-01-21,37
2017-01-28,37
2017-02-04,38
2017-02-11,40
2017-02-18,37
2017-02-25,40
2017-03-04,39
2017-03-11,39
2017-03-18,41
2017-03-25,40
2017-04-01,38
2017-04-08,40
2017-04-15,37
2017-04-22,37
2017-04-29,39
2017-05-06,36
2017-05-13,35
2017-05-20,37
2017-05-27,41
2017-06-03,39
2017-06-10,39
2017-06-17,44
2017-06-24,51
2017-07-01,60
2017-07-08,61
2017-07-15,67
2017-07-22,70
2017-07-29,74
2017-08-05,71
2017-08-12,64
2017-08-19,61
2017-08-26,59
2017-09-02,55
2017-09-09,53
2017-09-16,56
2017-09-23,52
2017-09-30,55
2017-10-07,55
2017-10-14,54
2017-10-21,51
2017-10-28,53
2017-11-04,55
2017-11-11,59
2017-11-18,72
2017-11-25,53
2017-12-02,51
2017-12-09,54
2017-12-16,61
2017-12-23,62
2017-12-30,66
2018-01-06,61
2018-01-13,61
2018-01-20,61
2018-01-27,57
2018-02-03,56
2018-02-10,59
2018-02-17,58
2018-02-24,56
2018-03-03,54
2018-03-10,57
2018-03-17,54
2018-03-24,60
2018-03-31,57
2018-04-07,51
2018-04-14,51
2018-04-21,53
2018-04-28,51
2018-05-05,51
2018-05-12,49
2018-05-19,49
2018-05-26,52
2018-06-02,49
2018-06-09,55
2018-06-16,50
2018-06-23,53
2018-06-30,55
2018-07-07,53
2018-07-14,51
2018-07-21,53
2018-07-28,54
2018-08-04,56
2018-08-11,55
2018-08-18,52
2018-08-25,47
2018-09-01,51
2018-09-08,46
2018-09-15,48
2018-09-22,48
2018-09-29,47
2018-10-06,49
2018-10-13,49
2018-10-20,45
2018-10-27,49
2018-11-03,48
2018-11-10,52
2018-11-17,65
2018-11-24,47
2018-12-01,48
2018-12-08,51
2018-12-15,55
2018-12-22,60
2018-12-29,63
2019-01-05,56
2019-01-12,55
2019-01-19,55
2019-01-26,52
2019-02-02,52
2019-02-09,56
2019-02-16,52
2019-02-23,51
2019-03-02,51
2019-03-09,51
2019-03-16,54
2019-03-23,52
2019-03-30,53
2019-04-06,54
2019-04-13,55
2019-04-20,49
2019-04-27,51
2019-05-04,49
2019-05-11,49
2019-05-18,51
2019-05-25,50
2019-06-01,52
2019-06-08,51
2019-06-15,55
2019-06-22,53
2019-06-29,54
2019-07-06,53
2019-07-13,54
2019-07-20,53
2019-07-27,51
2019-08-03,55
2019-08-10,53
2019-08-17,53
2019-08-24,48
2019-08-31,51
2019-09-07,49
2019-09-14,49
2019-09-21,51
2019-09-28,48
2019-10-05,53
2019-10-12,50
2019-10-19,62
2019-10-26,60
2019-11-02,64
2019-11-09,62
2019-11-16,70
2019-11-23,77
2019-11-30,57
2019-12-07,60
2019-12-14,61
2019-12-21,70
2019-12-28,66
2020-01-04,71
2020-01-11,65
2020-01-18,68
2020-01-25,62
2020-02-01,58
2020-02-08,62
2020-02-15,58
2020-02-22,60
2020-02-29,56
