Search Term,vegetarian
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,100
2020-02-01,95
2020-02-08,98
2020-02-15,99
2020-02-22,92
2020-02-29,84
2020-03-07,76
2020-03-14,64
2020-03-21,66
2020-03-28,69
2020-04-04,79
2020-04-11,74
2020-04-18,75
2020-04-25,79
2020-05-02,83
2020-05-09,80
2020-05-16,80
2020-05-23,79
2020-05-30,70
2020-06-06,75
2020-06-13,78
2020-06-20,74
2020-06-27,77
2020-07-04,78
2020-07-11,80
2020-07-18,79
2020-07-25,78
2020-08-01,80
2020-08-08,81
2020-08-15,77
2020-08-22,75
2020-08-29,74
2020-09-05,75
2020-09-12,77
2020-09-19,72
2020-09-26,75
2020-10-03,76
2020-10-10,80
2020-10-17,78
2020-10-24,74
2020-10-31,63
2020-11-07,77
2020-11-14,85
2020-11-21,89
2020-11-28,71
2020-12-05,72
2020-12-12,75
2020-12-19,82
2020-12-26,96
2021-01-02,83
2021-01-09,80
2021-01-16,78
2021-01-23,79
2021-01-30,85
2021-02-06,81
2021-02-13,81
2021-02-20,76
2021-02-27,75
2021-03-06,72
2021-03-13,70
2021-03-20,70
2021-03-27,81
2021-04-03,69
2021-04-10,70
2021-04-17,73
2021-04-24,75
2021-05-01,72
2021-05-08,68
2021-05-15,68
2021-05-22,71
2021-05-29,70
2021-06-05,69
2021-06-12,72
2021-06-19,75
2021-06-26,73
2021-07-03,75
2021-07-10,73
2021-07-17,75
2021-07-24,75
2021-07-31,75
2021-08-07,68
2021-08-14,71
2021-08-21,73
2021-08-28,66
2021-09-04,70
2021-09-11,71
2021-09-18,67
2021-09-25,71
2021-10-02,69
2021-10-09,71
2021-10-16,72
2021-10-23,71
2021-10-30,76
2021-11-06,77
2021-11-13,79
2021-11-20,81
2021-11-27,68
2021-12-04,70
2021-12-11,72
2021-12-18,79
2021-12-25,80
2022-01-01,93
2022-01-08,86
2022-01-15,78
2022-01-22,80
2022-01-29,79
2022-02-05,82
2022-02-12,81
2022-02-19,83
2022-02-26,83
2022-03-05,85
2022-03-12,82
2022-03-19,79
2022-03-26,78
2022-04-02,79
2022-04-09,79
2022-04-16,74
2022-04-23,73
2022-04-30,76
2022-05-07,71
2022-05-14,70
2022-05-21,70
2022-05-28,71
2022-06-04,71
2022-06-11,74
2022-06-18,73
2022-06-25,79
2022-07-02,78
2022-07-09,72
2022-07-16,74
2022-07-23,75
2022-07-30,76
2022-08-06,75
2022-08-13,72
2022-08-20,70
2022-08-27,67
2022-09-03,70
2022-09-10,68
2022-09-17,71
2022-09-24,71
2022-10-01,71
2022-10-08,75
2022-10-15,71
2022-10-22,67
2022-10-29,73
2022-11-05,73
2022-11-12,79
2022-11-19,83
2022-11-26,70
2022-12-03,68
2022-12-10,72
2022-12-17,83
2022-12-24,87
2022-12-31,83
2023-01-07,77
2023-01-14,75
2023-01-21,74
2023-01-28,70
2023-02-04,75
2023-02-11,69
2023-02-18,76
2023-02-25,74
2023-03-04,71
2023-03-11,72
2023-03-18,66
2023-03-25,74
2023-04-01,75
2023-04-08,64
2023-04-15,69
2023-04-22,65
2023-04-29,64
2023-05-06,67
2023-05-13,64
2023-05-20,66
2023-05-27,68
2023-06-03,65
2023-06-10,70
2023-06-17,68
2023-06-24,69
2023-07-01,73
2023-07-08,69
2023-07-15,65
2023-07-22,64
2023-07-29,68
2023-08-05,64
2023-08-12,65
2023-08-19,66
2023-08-26,65
2023-09-02,69
2023-09-09,65
2023-09-16,69
2023-09-23,65
2023-09-30,68
2023-10-07,64
2023-10-14,67
2023-10-21,65
2023-10-28,68
2023-11-04,72
2023-11-11,75
2023-11-18,80
2023-11-25,67
2023-12-02,70
2023-12-09,67
2023-12-16,88
2023-12-23,76
2023-12-30,89
2024-01-06,85
2024-01-13,82
2024-01-20,77
2024-01-27,71
2024-02-03,77
2024-02-10,74
2024-02-17,70
2024-02-24,72
2024-03-02,67
2024-03-09,71
2024-03-16,66
2024-03-23,72
2024-03-30,64
2024-04-06,61
2024-04-13,63
2024-04-20,62
2024-04-27,61
2024-05-04,61
2024-05-11,60
2024-05-18,60
2024-05-25,58
