Search Term,restaurants
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,51
2016-12-03,53
2016-12-10,52
2016-12-17,56
2016-12-24,75
2016-12-31,58
2017-01-07,54
2017-01-14,54
2017-01-21,55
2017-01-28,56
2017-02-04,55
2017-02-11,65
2017-02-18,61
2017-02-25,58
2017-03-04,61
2017-03-11,61
2017-03-18,59
2017-03-25,60
2017-04-01,61
2017-04-08,68
2017-04-15,60
2017-04-22,60
2017-04-29,62
2017-05-06,62
2017-05-13,64
2017-05-20,63
2017-05-27,66
2017-06-03,66
2017-06-10,67
2017-06-17,71
2017-06-24,73
2017-07-01,79
2017-07-08,77
2017-07-15,73
2017-07-22,77
2017-07-29,76
2017-08-05,72
2017-08-12,72
2017-08-19,66
2017-08-26,65
2017-09-02,67
2017-09-09,65
2017-09-16,63
2017-09-23,64
2017-09-30,63
2017-10-07,64
2017-10-14,59
2017-10-21,60
2017-10-28,59
2017-11-04,63
2017-11-11,60
2017-11-18,59
2017-11-25,57
2017-12-02,57
2017-12-09,55
2017-12-16,60
2017-12-23,84
2017-12-30,69
2018-01-06,59
2018-01-13,61
2018-01-20,61
2018-01-27,61
2018-02-03,60
2018-02-10,73
2018-02-17,66
2018-02-24,63
2018-03-03,66
2018-03-10,65
2018-03-17,66
2018-03-24,70
2018-03-31,68
2018-04-07,66
2018-04-14,62
2018-04-21,69
2018-04-28,67
2018-05-05,73
2018-05-12,70
2018-05-19,80
2018-05-26,84
2018-06-02,79
2018-06-09,76
2018-06-16,77
2018-06-23,84
2018-06-30,97
2018-07-07,99
2018-07-14,93
2018-07-21,87
2018-07-28,86
2018-08-04,83
2018-08-11,80
2018-08-18,76
2018-08-25,71
2018-09-01,73
2018-09-08,68
2018-09-15,68
2018-09-22,68
2018-09-29,71
2018-10-06,70
2018-10-13,68
2018-10-20,67
2018-10-27,65
2018-11-03,68
2018-11-10,64
2018-11-17,64
2018-11-24,61
2018-12-01,65
2018-12-08,65
2018-12-15,64
2018-12-22,95
2018-12-29,83
2019-01-05,66
2019-01-12,62
2019-01-19,63
2019-01-26,63
2019-02-02,67
2019-02-09,73
2019-02-16,70
2019-02-23,67
2019-03-02,70
2019-03-09,72
2019-03-16,73
2019-03-23,73
2019-03-30,71
2019-04-06,69
2019-04-13,74
2019-04-20,70
2019-04-27,69
2019-05-04,75
2019-05-11,72
2019-05-18,76
2019-05-25,76
2019-06-01,75
2019-06-08,77
2019-06-15,80
2019-06-22,82
2019-06-29,83
2019-07-06,77
2019-07-13,84
2019-07-20,87
2019-07-27,85
2019-08-03,85
2019-08-10,81
2019-08-17,79
2019-08-24,72
2019-08-31,73
2019-09-07,71
2019-09-14,71
2019-09-21,66
2019-09-28,69
2019-10-05,74
2019-10-12,71
2019-10-19,69
2019-10-26,70
2019-11-02,68
2019-11-09,68
2019-11-16,66
2019-11-23,69
2019-11-30,64
2019-12-07,64
2019-12-14,70
2019-12-21,100
2019-12-28,90
2020-01-04,66
2020-01-11,67
2020-01-18,68
2020-01-25,66
2020-02-01,65
2020-02-08,79
2020-02-15,71
2020-02-22,66
2020-02-29,65
