Search Term,okja
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,30
2020-02-01,33
2020-02-08,100
2020-02-15,74
2020-02-22,52
2020-02-29,40
2020-03-07,36
2020-03-14,50
2020-03-21,54
2020-03-28,55
2020-04-04,74
2020-04-11,64
2020-04-18,53
2020-04-25,60
2020-05-02,48
2020-05-09,42
2020-05-16,41
2020-05-23,39
2020-05-30,40
2020-06-06,36
2020-06-13,30
2020-06-20,28
2020-06-27,28
2020-07-04,26
2020-07-11,25
2020-07-18,28
2020-07-25,32
2020-08-01,35
2020-08-08,25
2020-08-15,25
2020-08-22,26
2020-08-29,26
2020-09-05,24
2020-09-12,22
2020-09-19,19
2020-09-26,24
2020-10-03,20
2020-10-10,24
2020-10-17,18
2020-10-24,17
2020-10-31,26
2020-11-07,21
2020-11-14,19
2020-11-21,17
2020-11-28,16
2020-12-05,21
2020-12-12,20
2020-12-19,22
2020-12-26,26
2021-01-02,24
2021-01-09,31
2021-01-16,31
2021-01-23,25
2021-01-30,20
2021-02-06,21
2021-02-13,20
2021-02-20,20
2021-02-27,18
2021-03-06,17
2021-03-13,20
2021-03-20,17
2021-03-27,17
2021-04-03,17
2021-04-10,17
2021-04-17,17
2021-04-24,19
2021-05-01,16
2021-05-08,18
2021-05-15,23
2021-05-22,18
2021-05-29,18
2021-06-05,17
2021-06-12,22
2021-06-19,18
2021-06-26,16
2021-07-03,17
2021-07-10,16
2021-07-17,14
2021-07-24,17
2021-07-31,15
2021-08-07,15
2021-08-14,16
2021-08-21,16
2021-08-28,13
2021-09-04,15
2021-09-11,15
2021-09-18,17
2021-09-25,17
2021-10-02,15
2021-10-09,16
2021-10-16,14
2021-10-23,14
2021-10-30,15
2021-11-06,15
2021-11-13,13
2021-11-20,13
2021-11-27,12
2021-12-04,11
2021-12-11,12
2021-12-18,12
2021-12-25,16
2022-01-01,17
2022-01-08,16
2022-01-15,27
2022-01-22,21
2022-01-29,22
2022-02-05,18
2022-02-12,16
2022-02-19,16
2022-02-26,16
2022-03-05,18
2022-03-12,18
2022-03-19,20
2022-03-26,19
2022-04-02,16
2022-04-09,17
2022-04-16,22
2022-04-23,19
2022-04-30,18
2022-05-07,17
2022-05-14,14
2022-05-21,13
2022-05-28,12
2022-06-04,12
2022-06-11,15
2022-06-18,15
2022-06-25,12
2022-07-02,17
2022-07-09,13
2022-07-16,14
2022-07-23,13
2022-07-30,13
2022-08-06,12
2022-08-13,11
2022-08-20,13
2022-08-27,12
2022-09-03,12
2022-09-10,11
2022-09-17,11
2022-09-24,10
2022-10-01,10
2022-10-08,10
2022-10-15,12
2022-10-22,11
2022-10-29,11
2022-11-05,10
2022-11-12,11
2022-11-19,10
2022-11-26,11
2022-12-03,11
2022-12-10,15
2022-12-17,11
2022-12-24,11
2022-12-31,13
2023-01-07,11
2023-01-14,10
2023-01-21,22
2023-01-28,49
2023-02-04,35
2023-02-11,29
2023-02-18,27
2023-02-25,21
2023-03-04,19
2023-03-11,19
2023-03-18,17
2023-03-25,17
2023-04-01,14
2023-04-08,22
2023-04-15,18
2023-04-22,16
2023-04-29,14
2023-05-06,12
2023-05-13,12
2023-05-20,12
2023-05-27,14
2023-06-03,14
2023-06-10,13
2023-06-17,12
2023-06-24,11
2023-07-01,13
2023-07-08,13
2023-07-15,13
2023-07-22,13
2023-07-29,12
2023-08-05,11
2023-08-12,13
2023-08-19,12
2023-08-26,11
2023-09-02,10
2023-09-09,10
2023-09-16,12
2023-09-23,11
2023-09-30,9
2023-10-07,11
2023-10-14,10
2023-10-21,9
2023-10-28,9
2023-11-04,11
2023-11-11,11
2023-11-18,11
2023-11-25,17
2023-12-02,14
2023-12-09,10
2023-12-16,10
2023-12-23,13
2023-12-30,11
2024-01-06,12
2024-01-13,12
2024-01-20,12
2024-01-27,13
2024-02-03,15
2024-02-10,15
2024-02-17,13
2024-02-24,12
2024-03-02,11
2024-03-09,9
2024-03-16,10
2024-03-23,11
2024-03-30,10
2024-04-06,11
2024-04-13,9
2024-04-20,10
2024-04-27,11
2024-05-04,10
2024-05-11,10
2024-05-18,10
2024-05-25,10
