Search Term,vegan diet plan
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,89
2020-02-01,100
2020-02-08,90
2020-02-15,88
2020-02-22,81
2020-02-29,70
2020-03-07,64
2020-03-14,44
2020-03-21,43
2020-03-28,45
2020-04-04,62
2020-04-11,70
2020-04-18,74
2020-04-25,74
2020-05-02,71
2020-05-09,74
2020-05-16,91
2020-05-23,76
2020-05-30,82
2020-06-06,86
2020-06-13,73
2020-06-20,72
2020-06-27,64
2020-07-04,69
2020-07-11,73
2020-07-18,72
2020-07-25,78
2020-08-01,70
2020-08-08,73
2020-08-15,71
2020-08-22,63
2020-08-29,64
2020-09-05,67
2020-09-12,68
2020-09-19,62
2020-09-26,62
2020-10-03,62
2020-10-10,58
2020-10-17,54
2020-10-24,52
2020-10-31,45
2020-11-07,52
2020-11-14,55
2020-11-21,54
2020-11-28,57
2020-12-05,45
2020-12-12,39
2020-12-19,47
2020-12-26,86
2021-01-02,71
2021-01-09,57
2021-01-16,67
2021-01-23,59
2021-01-30,53
2021-02-06,59
2021-02-13,61
2021-02-20,61
2021-02-27,57
2021-03-06,53
2021-03-13,59
2021-03-20,58
2021-03-27,55
2021-04-03,68
2021-04-10,60
2021-04-17,59
2021-04-24,47
2021-05-01,52
2021-05-08,52
2021-05-15,51
2021-05-22,61
2021-05-29,61
2021-06-05,50
2021-06-12,52
2021-06-19,51
2021-06-26,57
2021-07-03,42
2021-07-10,52
2021-07-17,62
2021-07-24,53
2021-07-31,43
2021-08-07,41
2021-08-14,43
2021-08-21,50
2021-08-28,48
2021-09-04,44
2021-09-11,39
2021-09-18,47
2021-09-25,45
2021-10-02,44
2021-10-09,39
2021-10-16,34
2021-10-23,36
2021-10-30,36
2021-11-06,50
2021-11-13,37
2021-11-20,35
2021-11-27,41
2021-12-04,38
2021-12-11,40
2021-12-18,38
2021-12-25,63
2022-01-01,58
2022-01-08,46
2022-01-15,36
2022-01-22,47
2022-01-29,48
2022-02-05,40
2022-02-12,44
2022-02-19,42
2022-02-26,44
2022-03-05,40
2022-03-12,37
2022-03-19,34
2022-03-26,43
2022-04-02,37
2022-04-09,40
2022-04-16,41
2022-04-23,36
2022-04-30,43
2022-05-07,43
2022-05-14,36
2022-05-21,34
2022-05-28,36
2022-06-04,36
2022-06-11,40
2022-06-18,33
2022-06-25,39
2022-07-02,38
2022-07-09,36
2022-07-16,40
2022-07-23,33
2022-07-30,37
2022-08-06,32
2022-08-13,39
2022-08-20,32
2022-08-27,33
2022-09-03,27
2022-09-10,31
2022-09-17,24
2022-09-24,28
2022-10-01,32
2022-10-08,30
2022-10-15,28
2022-10-22,33
2022-10-29,32
2022-11-05,33
2022-11-12,34
2022-11-19,29
2022-11-26,27
2022-12-03,33
2022-12-10,27
2022-12-17,26
2022-12-24,33
2022-12-31,43
2023-01-07,29
2023-01-14,35
2023-01-21,32
2023-01-28,28
2023-02-04,30
2023-02-11,35
2023-02-18,33
2023-02-25,33
2023-03-04,33
2023-03-11,29
2023-03-18,28
2023-03-25,32
2023-04-01,29
2023-04-08,24
2023-04-15,26
2023-04-22,28
2023-04-29,32
2023-05-06,29
2023-05-13,27
2023-05-20,26
2023-05-27,25
2023-06-03,29
2023-06-10,31
2023-06-17,19
2023-06-24,31
2023-07-01,25
2023-07-08,32
2023-07-15,25
2023-07-22,26
2023-07-29,31
2023-08-05,27
2023-08-12,27
2023-08-19,32
2023-08-26,24
2023-09-02,24
2023-09-09,21
2023-09-16,21
2023-09-23,24
2023-09-30,23
2023-10-07,20
2023-10-14,18
2023-10-21,24
2023-10-28,24
2023-11-04,22
2023-11-11,22
2023-11-18,21
2023-11-25,26
2023-12-02,18
2023-12-09,21
2023-12-16,17
2023-12-23,22
2023-12-30,81
2024-01-06,68
2024-01-13,42
2024-01-20,35
2024-01-27,30
2024-02-03,29
2024-02-10,32
2024-02-17,31
2024-02-24,24
2024-03-02,28
2024-03-09,22
2024-03-16,29
2024-03-23,26
2024-03-30,29
2024-04-06,27
2024-04-13,17
2024-04-20,23
2024-04-27,17
2024-05-04,29
2024-05-11,19
2024-05-18,26
2024-05-25,20
