Search Term,plant based restaurants
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,74
2020-02-01,65
2020-02-08,65
2020-02-15,64
2020-02-22,65
2020-02-29,57
2020-03-07,40
2020-03-14,15
2020-03-21,12
2020-03-28,12
2020-04-04,13
2020-04-11,11
2020-04-18,15
2020-04-25,24
2020-05-02,22
2020-05-09,29
2020-05-16,32
2020-05-23,21
2020-05-30,23
2020-06-06,28
2020-06-13,31
2020-06-20,37
2020-06-27,26
2020-07-04,24
2020-07-11,37
2020-07-18,38
2020-07-25,39
2020-08-01,47
2020-08-08,41
2020-08-15,34
2020-08-22,39
2020-08-29,42
2020-09-05,43
2020-09-12,40
2020-09-19,39
2020-09-26,36
2020-10-03,31
2020-10-10,30
2020-10-17,23
2020-10-24,27
2020-10-31,25
2020-11-07,22
2020-11-14,24
2020-11-21,27
2020-11-28,24
2020-12-05,28
2020-12-12,25
2020-12-19,22
2020-12-26,38
2021-01-02,26
2021-01-09,38
2021-01-16,34
2021-01-23,40
2021-01-30,41
2021-02-06,27
2021-02-13,32
2021-02-20,52
2021-02-27,26
2021-03-06,33
2021-03-13,37
2021-03-20,36
2021-03-27,50
2021-04-03,42
2021-04-10,52
2021-04-17,48
2021-04-24,49
2021-05-01,54
2021-05-08,46
2021-05-15,42
2021-05-22,53
2021-05-29,43
2021-06-05,40
2021-06-12,45
2021-06-19,54
2021-06-26,42
2021-07-03,42
2021-07-10,45
2021-07-17,55
2021-07-24,51
2021-07-31,43
2021-08-07,41
2021-08-14,49
2021-08-21,43
2021-08-28,44
2021-09-04,47
2021-09-11,42
2021-09-18,32
2021-09-25,44
2021-10-02,42
2021-10-09,37
2021-10-16,40
2021-10-23,42
2021-10-30,40
2021-11-06,39
2021-11-13,44
2021-11-20,34
2021-11-27,32
2021-12-04,33
2021-12-11,37
2021-12-18,31
2021-12-25,38
2022-01-01,50
2022-01-08,39
2022-01-15,50
2022-01-22,43
2022-01-29,42
2022-02-05,51
2022-02-12,58
2022-02-19,41
2022-02-26,45
2022-03-05,40
2022-03-12,53
2022-03-19,45
2022-03-26,40
2022-04-02,44
2022-04-09,46
2022-04-16,46
2022-04-23,55
2022-04-30,47
2022-05-07,44
2022-05-14,33
2022-05-21,39
2022-05-28,37
2022-06-04,41
2022-06-11,37
2022-06-18,47
2022-06-25,40
2022-07-02,39
2022-07-09,50
2022-07-16,46
2022-07-23,49
2022-07-30,50
2022-08-06,45
2022-08-13,37
2022-08-20,33
2022-08-27,36
2022-09-03,32
2022-09-10,80
2022-09-17,36
2022-09-24,48
2022-10-01,33
2022-10-08,33
2022-10-15,30
2022-10-22,33
2022-10-29,23
2022-11-05,35
2022-11-12,36
2022-11-19,20
2022-11-26,26
2022-12-03,35
2022-12-10,40
2022-12-17,32
2022-12-24,38
2022-12-31,35
2023-01-07,38
2023-01-14,34
2023-01-21,40
2023-01-28,63
2023-02-04,39
2023-02-11,46
2023-02-18,36
2023-02-25,42
2023-03-04,30
2023-03-11,53
2023-03-18,38
2023-03-25,49
2023-04-01,46
2023-04-08,69
2023-04-15,53
2023-04-22,44
2023-04-29,49
2023-05-06,61
2023-05-13,46
2023-05-20,42
2023-05-27,50
2023-06-03,50
2023-06-10,71
2023-06-17,54
2023-06-24,50
2023-07-01,49
2023-07-08,80
2023-07-15,59
2023-07-22,65
2023-07-29,54
2023-08-05,63
2023-08-12,81
2023-08-19,39
2023-08-26,47
2023-09-02,41
2023-09-09,51
2023-09-16,53
2023-09-23,50
2023-09-30,47
2023-10-07,59
2023-10-14,35
2023-10-21,42
2023-10-28,43
2023-11-04,44
2023-11-11,43
2023-11-18,48
2023-11-25,36
2023-12-02,42
2023-12-09,54
2023-12-16,39
2023-12-23,35
2023-12-30,94
2024-01-06,100
2024-01-13,79
2024-01-20,56
2024-01-27,57
2024-02-03,39
2024-02-10,43
2024-02-17,39
2024-02-24,25
2024-03-02,35
2024-03-09,33
2024-03-16,37
2024-03-23,36
2024-03-30,38
2024-04-06,43
2024-04-13,35
2024-04-20,34
2024-04-27,32
2024-05-04,37
2024-05-11,43
2024-05-18,25
2024-05-25,28
