Search Term,vegan recipe
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,66
2020-02-01,62
2020-02-08,62
2020-02-15,62
2020-02-22,64
2020-02-29,59
2020-03-07,53
2020-03-14,62
2020-03-21,83
2020-03-28,88
2020-04-04,100
2020-04-11,89
2020-04-18,83
2020-04-25,88
2020-05-02,84
2020-05-09,78
2020-05-16,80
2020-05-23,69
2020-05-30,62
2020-06-06,64
2020-06-13,63
2020-06-20,62
2020-06-27,62
2020-07-04,59
2020-07-11,58
2020-07-18,64
2020-07-25,59
2020-08-01,61
2020-08-08,57
2020-08-15,59
2020-08-22,56
2020-08-29,52
2020-09-05,53
2020-09-12,52
2020-09-19,48
2020-09-26,49
2020-10-03,52
2020-10-10,52
2020-10-17,51
2020-10-24,53
2020-10-31,44
2020-11-07,55
2020-11-14,57
2020-11-21,72
2020-11-28,49
2020-12-05,56
2020-12-12,59
2020-12-19,79
2020-12-26,62
2021-01-02,57
2021-01-09,55
2021-01-16,56
2021-01-23,55
2021-01-30,55
2021-02-06,56
2021-02-13,60
2021-02-20,48
2021-02-27,48
2021-03-06,45
2021-03-13,48
2021-03-20,46
2021-03-27,54
2021-04-03,46
2021-04-10,42
2021-04-17,43
2021-04-24,42
2021-05-01,45
2021-05-08,42
2021-05-15,38
2021-05-22,39
2021-05-29,40
2021-06-05,37
2021-06-12,41
2021-06-19,36
2021-06-26,39
2021-07-03,39
2021-07-10,40
2021-07-17,37
2021-07-24,39
2021-07-31,38
2021-08-07,40
2021-08-14,41
2021-08-21,39
2021-08-28,39
2021-09-04,38
2021-09-11,38
2021-09-18,39
2021-09-25,38
2021-10-02,40
2021-10-09,39
2021-10-16,43
2021-10-23,39
2021-10-30,38
2021-11-06,46
2021-11-13,51
2021-11-20,64
2021-11-27,40
2021-12-04,47
2021-12-11,52
2021-12-18,77
2021-12-25,51
2022-01-01,56
2022-01-08,53
2022-01-15,52
2022-01-22,52
2022-01-29,49
2022-02-05,47
2022-02-12,50
2022-02-19,45
2022-02-26,47
2022-03-05,46
2022-03-12,44
2022-03-19,44
2022-03-26,43
2022-04-02,43
2022-04-09,47
2022-04-16,41
2022-04-23,39
2022-04-30,41
2022-05-07,41
2022-05-14,36
2022-05-21,37
2022-05-28,39
2022-06-04,39
2022-06-11,37
2022-06-18,37
2022-06-25,36
2022-07-02,39
2022-07-09,34
2022-07-16,37
2022-07-23,40
2022-07-30,37
2022-08-06,38
2022-08-13,35
2022-08-20,35
2022-08-27,38
2022-09-03,35
2022-09-10,35
2022-09-17,40
2022-09-24,38
2022-10-01,43
2022-10-08,40
2022-10-15,38
2022-10-22,42
2022-10-29,42
2022-11-05,41
2022-11-12,49
2022-11-19,62
2022-11-26,41
2022-12-03,42
2022-12-10,50
2022-12-17,71
2022-12-24,52
2022-12-31,45
2023-01-07,46
2023-01-14,45
2023-01-21,40
2023-01-28,41
2023-02-04,40
2023-02-11,40
2023-02-18,43
2023-02-25,39
2023-03-04,38
2023-03-11,38
2023-03-18,36
2023-03-25,37
2023-04-01,43
2023-04-08,33
2023-04-15,34
2023-04-22,32
2023-04-29,34
2023-05-06,32
2023-05-13,30
2023-05-20,30
2023-05-27,31
2023-06-03,30
2023-06-10,31
2023-06-17,32
2023-06-24,33
2023-07-01,33
2023-07-08,31
2023-07-15,33
2023-07-22,31
2023-07-29,30
2023-08-05,32
2023-08-12,30
2023-08-19,29
2023-08-26,31
2023-09-02,30
2023-09-09,30
2023-09-16,29
2023-09-23,32
2023-09-30,30
2023-10-07,32
2023-10-14,34
2023-10-21,33
2023-10-28,34
2023-11-04,36
2023-11-11,40
2023-11-18,58
2023-11-25,35
2023-12-02,40
2023-12-09,46
2023-12-16,61
2023-12-23,50
2023-12-30,48
2024-01-06,48
2024-01-13,48
2024-01-20,41
2024-01-27,41
2024-02-03,40
2024-02-10,43
2024-02-17,37
2024-02-24,34
2024-03-02,37
2024-03-09,34
2024-03-16,36
2024-03-23,42
2024-03-30,35
2024-04-06,33
2024-04-13,30
2024-04-20,34
2024-04-27,33
2024-05-04,32
2024-05-11,33
2024-05-18,30
2024-05-25,32
