Search Term,plant based recipe
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,99
2020-02-01,85
2020-02-08,74
2020-02-15,92
2020-02-22,73
2020-02-29,65
2020-03-07,69
2020-03-14,55
2020-03-21,58
2020-03-28,55
2020-04-04,58
2020-04-11,53
2020-04-18,66
2020-04-25,72
2020-05-02,64
2020-05-09,64
2020-05-16,53
2020-05-23,54
2020-05-30,60
2020-06-06,53
2020-06-13,55
2020-06-20,56
2020-06-27,59
2020-07-04,65
2020-07-11,66
2020-07-18,71
2020-07-25,59
2020-08-01,68
2020-08-08,61
2020-08-15,59
2020-08-22,55
2020-08-29,47
2020-09-05,54
2020-09-12,54
2020-09-19,40
2020-09-26,52
2020-10-03,47
2020-10-10,42
2020-10-17,45
2020-10-24,53
2020-10-31,42
2020-11-07,45
2020-11-14,47
2020-11-21,46
2020-11-28,35
2020-12-05,37
2020-12-12,40
2020-12-19,48
2020-12-26,64
2021-01-02,70
2021-01-09,65
2021-01-16,57
2021-01-23,57
2021-01-30,55
2021-02-06,52
2021-02-13,58
2021-02-20,59
2021-02-27,51
2021-03-06,55
2021-03-13,58
2021-03-20,52
2021-03-27,64
2021-04-03,48
2021-04-10,42
2021-04-17,55
2021-04-24,49
2021-05-01,57
2021-05-08,50
2021-05-15,60
2021-05-22,54
2021-05-29,37
2021-06-05,54
2021-06-12,49
2021-06-19,41
2021-06-26,47
2021-07-03,45
2021-07-10,51
2021-07-17,45
2021-07-24,43
2021-07-31,49
2021-08-07,49
2021-08-14,49
2021-08-21,42
2021-08-28,59
2021-09-04,48
2021-09-11,47
2021-09-18,41
2021-09-25,39
2021-10-02,46
2021-10-09,38
2021-10-16,41
2021-10-23,40
2021-10-30,48
2021-11-06,42
2021-11-13,48
2021-11-20,45
2021-11-27,53
2021-12-04,49
2021-12-11,41
2021-12-18,45
2021-12-25,54
2022-01-01,69
2022-01-08,77
2022-01-15,68
2022-01-22,63
2022-01-29,61
2022-02-05,66
2022-02-12,49
2022-02-19,52
2022-02-26,48
2022-03-05,42
2022-03-12,44
2022-03-19,52
2022-03-26,47
2022-04-02,56
2022-04-09,47
2022-04-16,47
2022-04-23,44
2022-04-30,41
2022-05-07,43
2022-05-14,46
2022-05-21,41
2022-05-28,35
2022-06-04,42
2022-06-11,48
2022-06-18,43
2022-06-25,37
2022-07-02,48
2022-07-09,49
2022-07-16,49
2022-07-23,48
2022-07-30,42
2022-08-06,49
2022-08-13,39
2022-08-20,43
2022-08-27,48
2022-09-03,50
2022-09-10,50
2022-09-17,43
2022-09-24,45
2022-10-01,48
2022-10-08,45
2022-10-15,44
2022-10-22,37
2022-10-29,41
2022-11-05,39
2022-11-12,49
2022-11-19,45
2022-11-26,38
2022-12-03,40
2022-12-10,36
2022-12-17,47
2022-12-24,43
2022-12-31,47
2023-01-07,47
2023-01-14,45
2023-01-21,60
2023-01-28,48
2023-02-04,53
2023-02-11,48
2023-02-18,55
2023-02-25,43
2023-03-04,47
2023-03-11,38
2023-03-18,48
2023-03-25,45
2023-04-01,46
2023-04-08,37
2023-04-15,49
2023-04-22,41
2023-04-29,46
2023-05-06,42
2023-05-13,40
2023-05-20,43
2023-05-27,41
2023-06-03,35
2023-06-10,40
2023-06-17,41
2023-06-24,45
2023-07-01,39
2023-07-08,40
2023-07-15,40
2023-07-22,41
2023-07-29,47
2023-08-05,42
2023-08-12,46
2023-08-19,47
2023-08-26,46
2023-09-02,40
2023-09-09,41
2023-09-16,45
2023-09-23,48
2023-09-30,43
2023-10-07,35
2023-10-14,39
2023-10-21,35
2023-10-28,39
2023-11-04,44
2023-11-11,38
2023-11-18,44
2023-11-25,46
2023-12-02,44
2023-12-09,46
2023-12-16,43
2023-12-23,44
2023-12-30,100
2024-01-06,98
2024-01-13,82
2024-01-20,75
2024-01-27,72
2024-02-03,62
2024-02-10,51
2024-02-17,53
2024-02-24,48
2024-03-02,46
2024-03-09,40
2024-03-16,47
2024-03-23,49
2024-03-30,53
2024-04-06,49
2024-04-13,46
2024-04-20,48
2024-04-27,42
2024-05-04,48
2024-05-11,45
2024-05-18,44
2024-05-25,44
