Search Term,vegetarian recipe
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,69
2020-02-01,67
2020-02-08,67
2020-02-15,68
2020-02-22,66
2020-02-29,65
2020-03-07,70
2020-03-14,66
2020-03-21,70
2020-03-28,82
2020-04-04,100
2020-04-11,90
2020-04-18,92
2020-04-25,95
2020-05-02,89
2020-05-09,81
2020-05-16,81
2020-05-23,71
2020-05-30,66
2020-06-06,70
2020-06-13,67
2020-06-20,74
2020-06-27,70
2020-07-04,68
2020-07-11,71
2020-07-18,59
2020-07-25,59
2020-08-01,69
2020-08-08,63
2020-08-15,63
2020-08-22,69
2020-08-29,65
2020-09-05,68
2020-09-12,66
2020-09-19,63
2020-09-26,62
2020-10-03,64
2020-10-10,61
2020-10-17,62
2020-10-24,66
2020-10-31,55
2020-11-07,60
2020-11-14,73
2020-11-21,68
2020-11-28,62
2020-12-05,63
2020-12-12,66
2020-12-19,79
2020-12-26,82
2021-01-02,71
2021-01-09,69
2021-01-16,71
2021-01-23,64
2021-01-30,63
2021-02-06,61
2021-02-13,76
2021-02-20,65
2021-02-27,56
2021-03-06,53
2021-03-13,59
2021-03-20,54
2021-03-27,60
2021-04-03,54
2021-04-10,56
2021-04-17,54
2021-04-24,55
2021-05-01,58
2021-05-08,55
2021-05-15,52
2021-05-22,51
2021-05-29,50
2021-06-05,49
2021-06-12,49
2021-06-19,48
2021-06-26,49
2021-07-03,52
2021-07-10,52
2021-07-17,52
2021-07-24,51
2021-07-31,49
2021-08-07,50
2021-08-14,51
2021-08-21,52
2021-08-28,50
2021-09-04,49
2021-09-11,50
2021-09-18,51
2021-09-25,54
2021-10-02,55
2021-10-09,57
2021-10-16,54
2021-10-23,54
2021-10-30,55
2021-11-06,58
2021-11-13,56
2021-11-20,64
2021-11-27,51
2021-12-04,56
2021-12-11,58
2021-12-18,74
2021-12-25,71
2022-01-01,75
2022-01-08,72
2022-01-15,65
2022-01-22,66
2022-01-29,65
2022-02-05,65
2022-02-12,57
2022-02-19,51
2022-02-26,54
2022-03-05,52
2022-03-12,51
2022-03-19,49
2022-03-26,49
2022-04-02,50
2022-04-09,53
2022-04-16,45
2022-04-23,47
2022-04-30,52
2022-05-07,41
2022-05-14,44
2022-05-21,43
2022-05-28,46
2022-06-04,45
2022-06-11,42
2022-06-18,45
2022-06-25,45
2022-07-02,50
2022-07-09,53
2022-07-16,47
2022-07-23,49
2022-07-30,46
2022-08-06,49
2022-08-13,47
2022-08-20,46
2022-08-27,49
2022-09-03,52
2022-09-10,43
2022-09-17,50
2022-09-24,53
2022-10-01,48
2022-10-08,56
2022-10-15,50
2022-10-22,54
2022-10-29,55
2022-11-05,53
2022-11-12,64
2022-11-19,61
2022-11-26,57
2022-12-03,52
2022-12-10,66
2022-12-17,72
2022-12-24,66
2022-12-31,64
2023-01-07,56
2023-01-14,64
2023-01-21,60
2023-01-28,59
2023-02-04,54
2023-02-11,53
2023-02-18,57
2023-02-25,52
2023-03-04,55
2023-03-11,52
2023-03-18,48
2023-03-25,50
2023-04-01,49
2023-04-08,39
2023-04-15,45
2023-04-22,42
2023-04-29,46
2023-05-06,44
2023-05-13,41
2023-05-20,40
2023-05-27,40
2023-06-03,41
2023-06-10,43
2023-06-17,41
2023-06-24,43
2023-07-01,43
2023-07-08,43
2023-07-15,44
2023-07-22,43
2023-07-29,43
2023-08-05,45
2023-08-12,43
2023-08-19,43
2023-08-26,44
2023-09-02,44
2023-09-09,44
2023-09-16,49
2023-09-23,46
2023-09-30,50
2023-10-07,49
2023-10-14,51
2023-10-21,49
2023-10-28,53
2023-11-04,49
2023-11-11,55
2023-11-18,57
2023-11-25,52
2023-12-02,54
2023-12-09,53
2023-12-16,68
2023-12-23,63
2023-12-30,67
2024-01-06,66
2024-01-13,63
2024-01-20,58
2024-01-27,56
2024-02-03,59
2024-02-10,51
2024-02-17,53
2024-02-24,49
2024-03-02,47
2024-03-09,46
2024-03-16,47
2024-03-23,52
2024-03-30,46
2024-04-06,43
2024-04-13,44
2024-04-20,42
2024-04-27,43
2024-05-04,41
2024-05-11,40
2024-05-18,39
2024-05-25,39
