Search Term,plant based restaurants near me
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,49
2020-02-01,31
2020-02-08,34
2020-02-15,47
2020-02-22,35
2020-02-29,42
2020-03-07,22
2020-03-14,0
2020-03-21,0
2020-03-28,0
2020-04-04,0
2020-04-11,0
2020-04-18,0
2020-04-25,16
2020-05-02,0
2020-05-09,20
2020-05-16,24
2020-05-23,0
2020-05-30,15
2020-06-06,0
2020-06-13,26
2020-06-20,30
2020-06-27,0
2020-07-04,22
2020-07-11,22
2020-07-18,30
2020-07-25,40
2020-08-01,46
2020-08-08,32
2020-08-15,24
2020-08-22,27
2020-08-29,51
2020-09-05,39
2020-09-12,28
2020-09-19,36
2020-09-26,24
2020-10-03,42
2020-10-10,39
2020-10-17,29
2020-10-24,29
2020-10-31,0
2020-11-07,29
2020-11-14,20
2020-11-21,21
2020-11-28,26
2020-12-05,30
2020-12-12,35
2020-12-19,19
2020-12-26,38
2021-01-02,40
2021-01-09,31
2021-01-16,28
2021-01-23,27
2021-01-30,29
2021-02-06,30
2021-02-13,33
2021-02-20,55
2021-02-27,23
2021-03-06,35
2021-03-13,29
2021-03-20,25
2021-03-27,44
2021-04-03,46
2021-04-10,40
2021-04-17,51
2021-04-24,51
2021-05-01,37
2021-05-08,41
2021-05-15,38
2021-05-22,41
2021-05-29,35
2021-06-05,50
2021-06-12,43
2021-06-19,39
2021-06-26,26
2021-07-03,29
2021-07-10,38
2021-07-17,51
2021-07-24,52
2021-07-31,56
2021-08-07,43
2021-08-14,56
2021-08-21,37
2021-08-28,38
2021-09-04,42
2021-09-11,51
2021-09-18,31
2021-09-25,40
2021-10-02,33
2021-10-09,45
2021-10-16,22
2021-10-23,29
2021-10-30,47
2021-11-06,23
2021-11-13,30
2021-11-20,22
2021-11-27,23
2021-12-04,0
2021-12-11,24
2021-12-18,21
2021-12-25,47
2022-01-01,54
2022-01-08,44
2022-01-15,44
2022-01-22,24
2022-01-29,39
2022-02-05,41
2022-02-12,36
2022-02-19,28
2022-02-26,36
2022-03-05,37
2022-03-12,42
2022-03-19,36
2022-03-26,30
2022-04-02,33
2022-04-09,35
2022-04-16,36
2022-04-23,35
2022-04-30,38
2022-05-07,35
2022-05-14,24
2022-05-21,19
2022-05-28,24
2022-06-04,38
2022-06-11,37
2022-06-18,33
2022-06-25,37
2022-07-02,15
2022-07-09,43
2022-07-16,46
2022-07-23,43
2022-07-30,35
2022-08-06,31
2022-08-13,25
2022-08-20,35
2022-08-27,28
2022-09-03,20
2022-09-10,100
2022-09-17,26
2022-09-24,38
2022-10-01,30
2022-10-08,30
2022-10-15,16
2022-10-22,24
2022-10-29,0
2022-11-05,28
2022-11-12,28
2022-11-19,0
2022-11-26,20
2022-12-03,30
2022-12-10,33
2022-12-17,29
2022-12-24,24
2022-12-31,26
2023-01-07,27
2023-01-14,26
2023-01-21,28
2023-01-28,62
2023-02-04,30
2023-02-11,38
2023-02-18,25
2023-02-25,32
2023-03-04,16
2023-03-11,55
2023-03-18,35
2023-03-25,28
2023-04-01,33
2023-04-08,82
2023-04-15,36
2023-04-22,25
2023-04-29,23
2023-05-06,65
2023-05-13,26
2023-05-20,25
2023-05-27,28
2023-06-03,28
2023-06-10,64
2023-06-17,33
2023-06-24,44
2023-07-01,35
2023-07-08,82
2023-07-15,23
2023-07-22,41
2023-07-29,33
2023-08-05,35
2023-08-12,77
2023-08-19,22
2023-08-26,30
2023-09-02,20
2023-09-09,60
2023-09-16,33
2023-09-23,27
2023-09-30,26
2023-10-07,64
2023-10-14,17
2023-10-21,24
2023-10-28,26
2023-11-04,31
2023-11-11,17
2023-11-18,24
2023-11-25,20
2023-12-02,0
2023-12-09,47
2023-12-16,20
2023-12-23,0
2023-12-30,82
2024-01-06,78
2024-01-13,72
2024-01-20,31
2024-01-27,23
2024-02-03,24
2024-02-10,22
2024-02-17,27
2024-02-24,25
2024-03-02,31
2024-03-09,26
2024-03-16,36
2024-03-23,31
2024-03-30,32
2024-04-06,43
2024-04-13,16
2024-04-20,38
2024-04-27,21
2024-05-04,24
2024-05-11,37
2024-05-18,0
2024-05-25,0
