,Search Term,vegetarian diet plan
0,2008-11-29,19.17644247183339
1,2008-12-06,0.0
2,2008-12-13,0.0
3,2008-12-20,27.28955274837828
4,2008-12-27,25.814441789006487
5,2009-01-03,27.28955274837828
6,2009-01-10,16.96377603277569
7,2009-01-17,22.126664390576988
8,2009-01-24,26.551997268692386
9,2009-01-31,29.502219187435983
10,2009-02-07,0.0
11,2009-02-14,21.38910891089109
12,2009-02-21,39.09044042335268
13,2009-02-28,19.91399795151929
14,2009-03-07,23.601775349948788
15,2009-03-14,19.91399795151929
16,2009-03-21,21.38910891089109
17,2009-03-28,25.076886309320585
18,2009-04-04,23.601775349948788
19,2009-04-11,19.17644247183339
20,2009-04-18,26.551997268692386
21,2009-04-25,22.126664390576988
22,2009-05-02,26.551997268692386
23,2009-05-09,26.551997268692386
24,2009-05-16,31.714885626493682
25,2009-05-23,22.864219870262886
26,2009-05-30,29.502219187435983
27,2009-06-06,29.502219187435983
28,2009-06-13,28.027108228064186
29,2009-06-20,28.76466370775009
30,2009-06-27,24.33933082963469
31,2009-07-04,39.09044042335268
32,2009-07-11,31.714885626493682
33,2009-07-18,25.076886309320585
34,2009-07-25,38.35288494366678
35,2009-08-01,33.92755206555138
36,2009-08-08,28.76466370775009
37,2009-08-15,22.126664390576988
38,2009-08-22,28.76466370775009
39,2009-08-29,25.076886309320585
40,2009-09-05,25.076886309320585
41,2009-09-12,29.502219187435983
42,2009-09-19,37.61532946398088
43,2009-09-26,21.38910891089109
44,2009-10-03,29.502219187435983
45,2009-10-10,30.977330146807784
46,2009-10-17,29.502219187435983
47,2009-10-24,31.714885626493682
48,2009-10-31,39.82799590303858
49,2009-11-07,40.56555138272448
50,2009-11-14,30.977330146807784
51,2009-11-21,25.814441789006487
52,2009-11-28,30.239774667121882
53,2009-12-05,34.66510754523728
54,2009-12-12,28.027108228064186
55,2009-12-19,42.040662342096276
56,2009-12-26,42.040662342096276
57,2010-01-02,52.36643905769887
58,2010-01-09,42.77821782178218
59,2010-01-16,42.77821782178218
60,2010-01-23,37.61532946398088
61,2010-01-30,49.41621713895527
62,2010-02-06,44.253328781153975
63,2010-02-13,33.92755206555138
64,2010-02-20,32.45244110617958
65,2010-02-27,49.41621713895527
66,2010-03-06,51.628883578012974
67,2010-03-13,49.41621713895527
68,2010-03-20,43.51577330146808
69,2010-03-27,36.877773984294976
70,2010-04-03,46.465995220211674
71,2010-04-10,39.82799590303858
72,2010-04-17,46.465995220211674
73,2010-04-24,42.040662342096276
74,2010-05-01,52.36643905769887
75,2010-05-08,50.89132809832707
76,2010-05-15,42.040662342096276
77,2010-05-22,43.51577330146808
78,2010-05-29,46.465995220211674
79,2010-06-05,32.45244110617958
80,2010-06-12,44.99088426083988
81,2010-06-19,53.841550017070674
82,2010-06-26,33.18999658586549
83,2010-07-03,42.040662342096276
84,2010-07-10,46.465995220211674
85,2010-07-17,33.92755206555138
86,2010-07-24,29.502219187435983
87,2010-07-31,30.239774667121882
88,2010-08-07,39.09044042335268
89,2010-08-14,41.303106862410374
90,2010-08-21,46.465995220211674
91,2010-08-28,34.66510754523728
92,2010-09-04,38.35288494366678
93,2010-09-11,35.40266302492318
94,2010-09-18,41.303106862410374
95,2010-09-25,37.61532946398088
96,2010-10-02,41.303106862410374
97,2010-10-09,37.61532946398088
98,2010-10-16,30.239774667121882
99,2010-10-23,33.18999658586549
100,2010-10-30,35.40266302492318
101,2010-11-06,36.14021850460908
102,2010-11-13,33.18999658586549
103,2010-11-20,35.40266302492318
104,2010-11-27,34.66510754523728
105,2010-12-04,30.977330146807784
106,2010-12-11,23.601775349948788
107,2010-12-18,34.66510754523728
108,2010-12-25,51.628883578012974
109,2011-01-01,65.64243769204506
110,2011-01-08,38.35288494366678
111,2011-01-15,48.67866165926938
112,2011-01-22,43.51577330146808
113,2011-01-29,47.94110617958347
114,2011-02-05,40.56555138272448
115,2011-02-12,35.40266302492318
116,2011-02-19,44.99088426083988
117,2011-02-26,38.35288494366678
118,2011-03-05,44.99088426083988
119,2011-03-12,36.14021850460908
120,2011-03-19,40.56555138272448
121,2011-03-26,37.61532946398088
122,2011-04-02,43.51577330146808
123,2011-04-09,39.09044042335268
124,2011-04-16,36.877773984294976
125,2011-04-23,50.15377261864117
126,2011-04-30,42.040662342096276
127,2011-05-07,40.56555138272448
128,2011-05-14,42.040662342096276
129,2011-05-21,33.18999658586549
130,2011-05-28,47.94110617958347
131,2011-06-04,39.82799590303858
132,2011-06-11,45.72843974052577
133,2011-06-18,35.40266302492318
134,2011-06-25,50.89132809832707
135,2011-07-02,43.51577330146808
136,2011-07-09,36.877773984294976
137,2011-07-16,42.77821782178218
138,2011-07-23,39.09044042335268
139,2011-07-30,53.10399453738477
140,2011-08-06,39.09044042335268
141,2011-08-13,38.35288494366678
142,2011-08-20,57.52932741550018
143,2011-08-27,42.77821782178218
144,2011-09-03,53.841550017070674
145,2011-09-10,33.92755206555138
146,2011-09-17,42.77821782178218
147,2011-09-24,46.465995220211674
148,2011-10-01,36.877773984294976
149,2011-10-08,40.56555138272448
150,2011-10-15,42.77821782178218
151,2011-10-22,36.14021850460908
152,2011-10-29,40.56555138272448
153,2011-11-05,39.09044042335268
154,2011-11-12,37.61532946398088
155,2011-11-19,40.56555138272448
156,2011-11-26,41.303106862410374
157,2011-12-03,33.92755206555138
158,2011-12-10,30.977330146807784
159,2011-12-17,34.66510754523728
160,2011-12-24,59.741993854557876
161,2011-12-31,66.37999317173097
162,2012-01-07,60.479549334243764
163,2012-01-14,52.36643905769887
164,2012-01-21,52.36643905769887
165,2012-01-28,53.10399453738477
166,2012-02-04,43.51577330146808
167,2012-02-11,42.040662342096276
168,2012-02-18,50.15377261864117
169,2012-02-25,43.51577330146808
170,2012-03-03,33.18999658586549
171,2012-03-10,48.67866165926938
172,2012-03-17,48.67866165926938
173,2012-03-24,47.94110617958347
