Search Term,vegetarian recipe
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,57
2016-12-03,62
2016-12-10,65
2016-12-17,80
2016-12-24,69
2016-12-31,78
2017-01-07,70
2017-01-14,68
2017-01-21,71
2017-01-28,65
2017-02-04,63
2017-02-11,59
2017-02-18,59
2017-02-25,67
2017-03-04,61
2017-03-11,59
2017-03-18,60
2017-03-25,59
2017-04-01,57
2017-04-08,65
2017-04-15,49
2017-04-22,53
2017-04-29,58
2017-05-06,54
2017-05-13,53
2017-05-20,52
2017-05-27,52
2017-06-03,53
2017-06-10,53
2017-06-17,53
2017-06-24,55
2017-07-01,60
2017-07-08,61
2017-07-15,62
2017-07-22,59
2017-07-29,59
2017-08-05,63
2017-08-12,61
2017-08-19,60
2017-08-26,59
2017-09-02,69
2017-09-09,61
2017-09-16,65
2017-09-23,57
2017-09-30,67
2017-10-07,65
2017-10-14,68
2017-10-21,66
2017-10-28,67
2017-11-04,71
2017-11-11,72
2017-11-18,74
2017-11-25,69
2017-12-02,76
2017-12-09,75
2017-12-16,81
2017-12-23,83
2017-12-30,85
2018-01-06,84
2018-01-13,75
2018-01-20,72
2018-01-27,74
2018-02-03,70
2018-02-10,72
2018-02-17,68
2018-02-24,63
2018-03-03,71
2018-03-10,64
2018-03-17,69
2018-03-24,64
2018-03-31,58
2018-04-07,57
2018-04-14,55
2018-04-21,55
2018-04-28,58
2018-05-05,55
2018-05-12,53
2018-05-19,52
2018-05-26,56
2018-06-02,55
2018-06-09,55
2018-06-16,50
2018-06-23,52
2018-06-30,52
2018-07-07,54
2018-07-14,56
2018-07-21,54
2018-07-28,56
2018-08-04,56
2018-08-11,59
2018-08-18,57
2018-08-25,53
2018-09-01,56
2018-09-08,57
2018-09-15,56
2018-09-22,56
2018-09-29,61
2018-10-06,58
2018-10-13,62
2018-10-20,56
2018-10-27,65
2018-11-03,58
2018-11-10,64
2018-11-17,65
2018-11-24,64
2018-12-01,64
2018-12-08,60
2018-12-15,71
2018-12-22,75
2018-12-29,82
2019-01-05,69
2019-01-12,66
2019-01-19,69
2019-01-26,65
2019-02-02,65
2019-02-09,59
2019-02-16,59
2019-02-23,56
2019-03-02,58
2019-03-09,55
2019-03-16,57
2019-03-23,54
2019-03-30,54
2019-04-06,53
2019-04-13,57
2019-04-20,48
2019-04-27,56
2019-05-04,56
2019-05-11,53
2019-05-18,51
2019-05-25,50
2019-06-01,53
2019-06-08,55
2019-06-15,56
2019-06-22,49
2019-06-29,53
2019-07-06,52
2019-07-13,55
2019-07-20,52
2019-07-27,50
2019-08-03,53
2019-08-10,55
2019-08-17,53
2019-08-24,55
2019-08-31,54
2019-09-07,55
2019-09-14,57
2019-09-21,61
2019-09-28,58
2019-10-05,62
2019-10-12,60
2019-10-19,64
2019-10-26,68
2019-11-02,66
2019-11-09,72
2019-11-16,72
2019-11-23,73
2019-11-30,65
2019-12-07,63
2019-12-14,74
2019-12-21,70
2019-12-28,100
2020-01-04,79
2020-01-11,71
2020-01-18,76
2020-01-25,67
2020-02-01,65
2020-02-08,65
2020-02-15,66
2020-02-22,64
2020-02-29,63
