Search Term,climate
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,81
2020-02-01,93
2020-02-08,79
2020-02-15,85
2020-02-22,78
2020-02-29,79
2020-03-07,76
2020-03-14,73
2020-03-21,63
2020-03-28,70
2020-04-04,66
2020-04-11,65
2020-04-18,68
2020-04-25,64
2020-05-02,74
2020-05-09,72
2020-05-16,77
2020-05-23,86
2020-05-30,94
2020-06-06,86
2020-06-13,78
2020-06-20,86
2020-06-27,86
2020-07-04,83
2020-07-11,80
2020-07-18,79
2020-07-25,85
2020-08-01,79
2020-08-08,79
2020-08-15,92
2020-08-22,84
2020-08-29,85
2020-09-05,83
2020-09-12,85
2020-09-19,76
2020-09-26,77
2020-10-03,73
2020-10-10,74
2020-10-17,76
2020-10-24,79
2020-10-31,62
2020-11-07,72
2020-11-14,73
2020-11-21,66
2020-11-28,80
2020-12-05,72
2020-12-12,77
2020-12-19,73
2020-12-26,82
2021-01-02,72
2021-01-09,83
2021-01-16,73
2021-01-23,77
2021-01-30,68
2021-02-06,77
2021-02-13,78
2021-02-20,62
2021-02-27,68
2021-03-06,62
2021-03-13,62
2021-03-20,73
2021-03-27,63
2021-04-03,61
2021-04-10,60
2021-04-17,62
2021-04-24,61
2021-05-01,61
2021-05-08,65
2021-05-15,58
2021-05-22,57
2021-05-29,64
2021-06-05,62
2021-06-12,63
2021-06-19,61
2021-06-26,78
2021-07-03,60
2021-07-10,61
2021-07-17,66
2021-07-24,73
2021-07-31,59
2021-08-07,64
2021-08-14,61
2021-08-21,62
2021-08-28,65
2021-09-04,68
2021-09-11,62
2021-09-18,67
2021-09-25,72
2021-10-02,71
2021-10-09,76
2021-10-16,71
2021-10-23,69
2021-10-30,74
2021-11-06,69
2021-11-13,66
2021-11-20,70
2021-11-27,67
2021-12-04,63
2021-12-11,70
2021-12-18,70
2021-12-25,78
2022-01-01,69
2022-01-08,72
2022-01-15,80
2022-01-22,69
2022-01-29,74
2022-02-05,64
2022-02-12,63
2022-02-19,62
2022-02-26,57
2022-03-05,63
2022-03-12,63
2022-03-19,62
2022-03-26,57
2022-04-02,55
2022-04-09,60
2022-04-16,87
2022-04-23,57
2022-04-30,52
2022-05-07,49
2022-05-14,65
2022-05-21,57
2022-05-28,59
2022-06-04,61
2022-06-11,60
2022-06-18,57
2022-06-25,59
2022-07-02,54
2022-07-09,57
2022-07-16,50
2022-07-23,54
2022-07-30,54
2022-08-06,61
2022-08-13,67
2022-08-20,57
2022-08-27,61
2022-09-03,63
2022-09-10,60
2022-09-17,65
2022-09-24,67
2022-10-01,64
2022-10-08,61
2022-10-15,67
2022-10-22,61
2022-10-29,64
2022-11-05,64
2022-11-12,65
2022-11-19,63
2022-11-26,65
2022-12-03,63
2022-12-10,62
2022-12-17,72
2022-12-24,75
2022-12-31,64
2023-01-07,69
2023-01-14,67
2023-01-21,68
2023-01-28,69
2023-02-04,61
2023-02-11,75
2023-02-18,63
2023-02-25,57
2023-03-04,57
2023-03-11,68
2023-03-18,64
2023-03-25,60
2023-04-01,57
2023-04-08,57
2023-04-15,77
2023-04-22,56
2023-04-29,56
2023-05-06,53
2023-05-13,56
2023-05-20,57
2023-05-27,56
2023-06-03,54
2023-06-10,66
2023-06-17,60
2023-06-24,56
2023-07-01,58
2023-07-08,62
2023-07-15,58
2023-07-22,57
2023-07-29,49
2023-08-05,61
2023-08-12,63
2023-08-19,65
2023-08-26,70
2023-09-02,66
2023-09-09,64
2023-09-16,62
2023-09-23,67
2023-09-30,65
2023-10-07,73
2023-10-14,66
2023-10-21,73
2023-10-28,74
2023-11-04,66
2023-11-11,80
2023-11-18,87
2023-11-25,77
2023-12-02,75
2023-12-09,71
2023-12-16,76
2023-12-23,67
2023-12-30,66
2024-01-06,67
2024-01-13,74
2024-01-20,68
2024-01-27,55
2024-02-03,57
2024-02-10,61
2024-02-17,61
2024-02-24,63
2024-03-02,60
2024-03-09,56
2024-03-16,65
2024-03-23,60
2024-03-30,51
2024-04-06,51
2024-04-13,51
2024-04-20,100
2024-04-27,48
2024-05-04,49
2024-05-11,49
2024-05-18,54
2024-05-25,58
