,Search Term,intensive animal farming
0,2003-12-27,0.0
1,2004-01-03,22.844706983757717
2,2004-01-10,24.04705998290286
3,2004-01-17,15.029412489314286
4,2004-01-24,20.139412735681145
5,2004-01-31,27.353530730552002
6,2004-02-07,20.440000985467428
7,2004-02-14,23.74647173311657
8,2004-02-21,25.249412982047996
9,2004-02-28,22.844706983757717
10,2004-03-06,0.0
11,2004-03-13,19.237647986322287
12,2004-03-20,24.64823648247543
13,2004-03-27,18.636471486749716
14,2004-04-03,21.041177485040002
15,2004-04-10,21.642353984612573
16,2004-04-17,30.05882497862857
17,2004-04-24,25.249412982047996
18,2004-05-01,25.249412982047996
19,2004-05-08,20.139412735681145
20,2004-05-15,20.139412735681145
21,2004-05-22,17.73470673739086
22,2004-05-29,19.237647986322287
23,2004-06-05,19.538236236108574
24,2004-06-12,15.931177238673143
25,2004-06-19,20.440000985467428
26,2004-06-26,9.017647493588573
27,2004-07-03,9.318235743374858
28,2004-07-10,11.722941741665144
29,2004-07-17,0.0
30,2004-07-24,13.827059490169145
31,2004-07-31,10.520588742520001
32,2004-08-07,0.0
33,2004-08-14,8.115882744229715
34,2004-08-21,9.618823993161143
35,2004-08-28,12.02352999145143
36,2004-09-04,0.0
37,2004-09-11,12.324118241237715
38,2004-09-18,14.728824239528002
39,2004-09-25,22.243530484185143
40,2004-10-02,21.041177485040002
41,2004-10-09,15.330000739100571
42,2004-10-16,8.115882744229715
43,2004-10-23,21.341765734826286
44,2004-10-30,18.33588323696343
45,2004-11-06,15.63058898888686
46,2004-11-13,27.65411898033829
47,2004-11-20,15.63058898888686
48,2004-11-27,26.75235423097943
49,2004-12-04,21.041177485040002
50,2004-12-11,11.722941741665144
51,2004-12-18,9.618823993161143
52,2004-12-25,0.0
53,2005-01-01,7.81529449444343
54,2005-01-08,16.832941988032
55,2005-01-15,20.740589235253715
56,2005-01-22,16.532353738245714
57,2005-01-29,15.63058898888686
58,2005-02-05,17.133530237818288
59,2005-02-12,19.838824485894857
60,2005-02-19,19.838824485894857
61,2005-02-26,22.54411873397143
62,2005-03-05,18.035294987177146
63,2005-03-12,13.22588299059657
64,2005-03-19,13.827059490169145
65,2005-03-26,21.041177485040002
66,2005-04-02,0.0
67,2005-04-09,18.33588323696343
68,2005-04-16,14.127647739955428
69,2005-04-23,24.64823648247543
70,2005-04-30,23.74647173311657
71,2005-05-07,14.127647739955428
72,2005-05-14,12.624706491023998
