Search Term,health
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,69
2020-02-01,68
2020-02-08,66
2020-02-15,68
2020-02-22,69
2020-02-29,74
2020-03-07,80
2020-03-14,100
2020-03-21,94
2020-03-28,94
2020-04-04,87
2020-04-11,78
2020-04-18,78
2020-04-25,73
2020-05-02,72
2020-05-09,71
2020-05-16,70
2020-05-23,68
2020-05-30,71
2020-06-06,70
2020-06-13,72
2020-06-20,66
2020-06-27,67
2020-07-04,67
2020-07-11,77
2020-07-18,69
2020-07-25,70
2020-08-01,67
2020-08-08,71
2020-08-15,73
2020-08-22,74
2020-08-29,77
2020-09-05,72
2020-09-12,75
2020-09-19,78
2020-09-26,78
2020-10-03,80
2020-10-10,76
2020-10-17,74
2020-10-24,77
2020-10-31,69
2020-11-07,75
2020-11-14,73
2020-11-21,65
2020-11-28,64
2020-12-05,66
2020-12-12,63
2020-12-19,50
2020-12-26,56
2021-01-02,67
2021-01-09,78
2021-01-16,79
2021-01-23,77
2021-01-30,81
2021-02-06,72
2021-02-13,69
2021-02-20,67
2021-02-27,71
2021-03-06,67
2021-03-13,69
2021-03-20,70
2021-03-27,67
2021-04-03,73
2021-04-10,67
2021-04-17,68
2021-04-24,73
2021-05-01,68
2021-05-08,64
2021-05-15,68
2021-05-22,68
2021-05-29,68
2021-06-05,71
2021-06-12,67
2021-06-19,65
2021-06-26,67
2021-07-03,64
2021-07-10,69
2021-07-17,68
2021-07-24,72
2021-07-31,72
2021-08-07,71
2021-08-14,71
2021-08-21,73
2021-08-28,69
2021-09-04,75
2021-09-11,74
2021-09-18,69
2021-09-25,73
2021-10-02,72
2021-10-09,71
2021-10-16,73
2021-10-23,73
2021-10-30,67
2021-11-06,70
2021-11-13,71
2021-11-20,65
2021-11-27,71
2021-12-04,68
2021-12-11,67
2021-12-18,57
2021-12-25,61
2022-01-01,78
2022-01-08,80
2022-01-15,75
2022-01-22,77
2022-01-29,78
2022-02-05,71
2022-02-12,77
2022-02-19,72
2022-02-26,72
2022-03-05,70
2022-03-12,74
2022-03-19,68
2022-03-26,76
2022-04-02,79
2022-04-09,65
2022-04-16,69
2022-04-23,70
2022-04-30,67
2022-05-07,69
2022-05-14,69
2022-05-21,66
2022-05-28,65
2022-06-04,69
2022-06-11,68
2022-06-18,62
2022-06-25,66
2022-07-02,67
2022-07-09,66
2022-07-16,65
2022-07-23,65
2022-07-30,65
2022-08-06,61
2022-08-13,65
2022-08-20,66
2022-08-27,65
2022-09-03,70
2022-09-10,72
2022-09-17,74
2022-09-24,70
2022-10-01,69
2022-10-08,72
2022-10-15,72
2022-10-22,71
2022-10-29,73
2022-11-05,71
2022-11-12,71
2022-11-19,63
2022-11-26,66
2022-12-03,69
2022-12-10,65
2022-12-17,54
2022-12-24,54
2022-12-31,65
2023-01-07,72
2023-01-14,67
2023-01-21,66
2023-01-28,72
2023-02-04,68
2023-02-11,67
2023-02-18,67
2023-02-25,69
2023-03-04,76
2023-03-11,76
2023-03-18,82
2023-03-25,80
2023-04-01,73
2023-04-08,75
2023-04-15,73
2023-04-22,76
2023-04-29,74
2023-05-06,76
2023-05-13,79
2023-05-20,80
2023-05-27,77
2023-06-03,75
2023-06-10,74
2023-06-17,71
2023-06-24,72
2023-07-01,70
2023-07-08,70
2023-07-15,71
2023-07-22,71
2023-07-29,72
2023-08-05,70
2023-08-12,71
2023-08-19,75
2023-08-26,75
2023-09-02,76
2023-09-09,77
2023-09-16,78
2023-09-23,76
2023-09-30,82
2023-10-07,87
2023-10-14,78
2023-10-21,81
2023-10-28,69
2023-11-04,77
2023-11-11,71
2023-11-18,67
2023-11-25,72
2023-12-02,75
2023-12-09,72
2023-12-16,62
2023-12-23,53
2023-12-30,68
2024-01-06,71
2024-01-13,69
2024-01-20,70
2024-01-27,75
2024-02-03,75
2024-02-10,72
2024-02-17,75
2024-02-24,76
2024-03-02,76
2024-03-09,72
2024-03-16,75
2024-03-23,68
2024-03-30,74
2024-04-06,67
2024-04-13,71
2024-04-20,72
2024-04-27,69
2024-05-04,67
2024-05-11,69
2024-05-18,66
2024-05-25,68
